subject,session,block,runsheet,trial,exposure,valence,action,robot,stimulus,rune,rune_set,correct,choice,rt,accuracy,sham,outcome,total_keys
02lqpjp4pevk73p8f7ipewf9,2,1,3a,75,7,win,go,GW,7.0,P,elianto,1,0,,0,0.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,76,7,lose,no-go,NGAL,6.0,S,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,77,8,win,go,GW,7.0,P,elianto,1,1,0.723,1,1.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,78,2,win,go,GW,8.0,G,elianto,1,0,,0,0.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,79,10,win,no-go,NGW,5.0,W,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,80,8,lose,no-go,NGAL,6.0,S,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,81,3,win,go,GW,8.0,G,elianto,1,1,0.862,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,82,1,win,no-go,NGW,9.0,A,elianto,0,1,0.835,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,83,1,lose,go,GAL,10.0,L,elianto,1,0,,0,0.0,-10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,84,11,win,no-go,NGW,5.0,W,elianto,0,0,,1,1.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,85,2,lose,go,GAL,10.0,L,elianto,1,1,1.139,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,86,2,win,no-go,NGW,9.0,A,elianto,0,0,,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,87,4,win,go,GW,8.0,G,elianto,1,1,0.792,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,88,12,win,no-go,NGW,5.0,W,elianto,0,1,0.74,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,89,5,win,go,GW,8.0,G,elianto,1,0,,0,0.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,90,3,lose,go,GAL,10.0,L,elianto,1,1,1.013,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,91,3,win,no-go,NGW,9.0,A,elianto,0,1,1.066,0,1.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,92,1,win,no-go,NGW,11.0,U,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,93,2,win,no-go,NGW,11.0,U,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,94,4,win,no-go,NGW,9.0,A,elianto,0,1,0.701,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,95,4,lose,go,GAL,10.0,L,elianto,1,0,,0,1.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,96,6,win,go,GW,8.0,G,elianto,1,1,1.072,1,1.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,97,5,lose,go,GAL,10.0,L,elianto,1,0,,0,0.0,-10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,98,5,win,no-go,NGW,9.0,A,elianto,0,1,0.793,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,99,3,win,no-go,NGW,11.0,U,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,100,7,win,go,GW,8.0,G,elianto,1,1,1.038,1,1.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,101,6,win,no-go,NGW,9.0,A,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,102,8,win,go,GW,8.0,G,elianto,1,0,,0,0.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,103,6,lose,go,GAL,10.0,L,elianto,1,0,,0,0.0,-10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,104,4,win,no-go,NGW,11.0,U,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,105,9,win,go,GW,8.0,G,elianto,1,1,1.055,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,106,5,win,no-go,NGW,11.0,U,elianto,0,1,0.897,0,1.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,107,7,win,no-go,NGW,9.0,A,elianto,0,1,0.772,0,1.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,108,7,lose,go,GAL,10.0,L,elianto,1,1,0.846,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,109,6,win,no-go,NGW,11.0,U,elianto,0,1,1.091,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,110,10,win,go,GW,8.0,G,elianto,1,1,0.678,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,111,8,win,no-go,NGW,9.0,A,elianto,0,1,1.266,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,112,8,lose,go,GAL,10.0,L,elianto,1,1,1.097,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,113,9,lose,go,GAL,10.0,L,elianto,1,1,0.755,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,114,11,win,go,GW,8.0,G,elianto,1,0,,0,0.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,115,7,win,no-go,NGW,11.0,U,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,116,9,win,no-go,NGW,9.0,A,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,117,8,win,no-go,NGW,11.0,U,elianto,0,0,,1,1.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,118,10,lose,go,GAL,10.0,L,elianto,1,0,,0,0.0,-10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,119,12,win,go,GW,8.0,G,elianto,1,1,1.196,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,120,10,win,no-go,NGW,9.0,A,elianto,0,0,,1,1.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,121,1,lose,go,GAL,1.0,N,elianto,1,0,,0,0.0,-10,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,122,1,lose,no-go,NGAL,2.0,F,elianto,0,1,0.44,0,0.0,-10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,123,1,win,no-go,NGW,3.0,X,elianto,0,1,0.652,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,124,1,win,go,GW,0.0,Q,elianto,1,0,,0,0.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,125,2,win,go,GW,0.0,Q,elianto,1,1,0.619,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,126,2,lose,no-go,NGAL,2.0,F,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,127,2,lose,go,GAL,1.0,N,elianto,1,1,1.127,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,128,2,win,no-go,NGW,3.0,X,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,129,3,lose,go,GAL,1.0,N,elianto,1,0,,0,0.0,-10,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,130,3,win,no-go,NGW,3.0,X,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,131,3,win,go,GW,0.0,Q,elianto,1,0,,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,132,3,lose,no-go,NGAL,2.0,F,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,133,4,win,no-go,NGW,3.0,X,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,134,4,lose,no-go,NGAL,2.0,F,elianto,0,1,1.264,0,0.0,-10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,135,4,win,go,GW,0.0,Q,elianto,1,0,,0,0.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,136,4,lose,go,GAL,1.0,N,elianto,1,0,,0,0.0,-10,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,137,5,lose,go,GAL,1.0,N,elianto,1,1,0.454,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,138,5,lose,no-go,NGAL,2.0,F,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,139,5,win,no-go,NGW,3.0,X,elianto,0,0,,1,1.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,140,5,win,go,GW,0.0,Q,elianto,1,1,0.847,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,141,6,win,go,GW,0.0,Q,elianto,1,1,0.983,1,1.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,142,6,win,no-go,NGW,3.0,X,elianto,0,1,1.076,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,143,6,lose,go,GAL,1.0,N,elianto,1,1,1.076,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,144,6,lose,no-go,NGAL,2.0,F,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,145,7,win,go,GW,0.0,Q,elianto,1,1,0.941,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,146,7,lose,go,GAL,1.0,N,elianto,1,1,1.165,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,147,7,win,no-go,NGW,3.0,X,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,148,7,lose,no-go,NGAL,2.0,F,elianto,0,1,1.048,0,0.0,-10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,149,8,lose,no-go,NGAL,2.0,F,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,150,8,lose,go,GAL,1.0,N,elianto,1,1,1.172,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,151,8,win,no-go,NGW,3.0,X,elianto,0,1,1.049,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,152,8,win,go,GW,0.0,Q,elianto,1,1,1.294,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,153,9,win,go,GW,0.0,Q,elianto,1,1,0.51,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,154,1,lose,no-go,NGAL,4.0,T,elianto,0,1,0.932,0,0.0,-10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,155,9,win,no-go,NGW,3.0,X,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,156,9,lose,go,GAL,1.0,N,elianto,1,1,0.814,1,1.0,-10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,157,10,win,go,GW,0.0,Q,elianto,1,0,,0,0.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,158,10,win,no-go,NGW,3.0,X,elianto,0,0,,1,0.0,+10,0
