subID TrialNo Threat(1)/Safe(2) Fractal CodeOutcomeRightSide CodeOutcomeWrongSide CodeOutcomeNoPress ActualOutcome Circleside(1Left2Right) response Accuracy rt 
26 17 1 1 0 1 1 0 1 1 1 3.120097e-01 
26 18 1 1 1 0 0 1 2 2 1 7.643289e-01 
26 19 1 4 -1 -1 0 0 2 0 1 NaN 
26 20 1 4 -1 -1 0 0 1 0 1 NaN 
26 1 2 4 -1 -1 0 -1 1 1 0 5.127719e-01 
26 2 2 4 -1 -1 0 -1 2 2 0 5.929653e-01 
26 3 2 3 0 0 1 0 1 1 0 3.379811e-01 
26 4 2 2 0 -1 -1 -1 2 0 0 NaN 
26 5 2 1 1 0 0 1 1 1 1 2.652098e-01 
26 6 2 2 0 -1 -1 0 1 1 1 2.531644e-01 
26 7 2 4 -1 -1 0 -1 1 1 0 3.531478e-01 
26 8 2 3 0 0 1 0 2 2 0 4.666960e-01 
26 9 2 2 0 -1 -1 -1 2 0 0 NaN 
26 10 2 3 1 1 0 1 1 1 0 4.936787e-01 
26 11 2 1 1 0 0 0 2 0 0 NaN 
26 12 2 1 0 1 1 0 1 1 1 2.458568e-01 
26 13 2 2 0 -1 -1 -1 1 0 0 NaN 
26 14 2 3 0 0 1 0 2 2 0 4.184690e-01 
26 15 2 4 0 0 -1 -1 2 0 1 NaN 
26 16 2 1 1 0 0 1 2 2 1 3.726867e-01 
26 17 2 4 -1 -1 0 0 2 0 1 NaN 
26 18 2 1 1 0 0 1 1 1 1 4.228594e-01 
26 19 2 2 -1 0 0 0 2 0 0 NaN 
26 20 2 3 0 0 1 1 1 0 1 NaN 
26 1 1 3 0 0 1 0 1 1 0 2.478306e-01 
26 2 1 2 0 -1 -1 -1 1 0 0 NaN 
26 3 1 2 0 -1 -1 0 1 1 1 4.151863e-01 
26 4 1 1 0 1 1 0 1 1 1 3.841305e-01 
26 5 1 4 -1 -1 0 0 1 0 1 NaN 
26 6 1 2 -1 0 0 0 2 0 0 NaN 
26 7 1 4 -1 -1 0 -1 1 1 0 2.923038e-01 
26 8 1 4 -1 -1 0 -1 2 1 0 4.653159e-01 
26 9 1 1 1 0 0 1 1 1 1 2.925817e-01 
26 10 1 4 -1 -1 0 -1 2 2 0 5.419479e-01 
26 11 1 4 0 0 -1 -1 2 0 1 NaN 
26 12 1 1 1 0 0 1 2 2 1 5.177722e-01 
26 13 1 3 0 0 1 1 1 0 1 NaN 
26 14 1 1 1 0 0 1 2 2 1 3.142859e-01 
26 15 1 2 0 -1 -1 -1 2 0 0 NaN 
26 16 1 1 1 0 0 1 1 1 1 2.728304e-01 
26 17 1 2 0 -1 -1 -1 2 0 0 NaN 
26 18 1 3 1 1 0 1 1 1 0 4.911057e-01 
26 19 1 3 0 0 1 0 2 2 0 6.629726e-01 
26 20 1 3 0 0 1 0 2 2 0 5.168880e-01 
26 1 2 4 -1 -1 0 0 1 0 1 NaN 
26 2 2 3 0 0 1 0 2 2 0 6.168745e-01 
26 3 2 4 0 0 -1 -1 2 0 1 NaN 
26 4 2 4 -1 -1 0 -1 1 1 0 8.527682e-01 
26 5 2 3 1 1 0 0 1 0 1 NaN 
26 6 2 2 0 -1 -1 0 2 2 1 2.879596e-01 
26 7 2 1 0 1 1 0 1 1 1 2.871820e-01 
26 8 2 4 -1 -1 0 0 2 0 1 NaN 
26 9 2 1 1 0 0 1 1 1 1 5.614240e-01 
26 10 2 2 0 -1 -1 0 1 1 1 3.242225e-01 
26 11 2 3 0 0 1 0 1 1 0 4.186916e-01 
26 12 2 3 0 0 1 1 1 0 1 NaN 
26 13 2 3 0 0 1 0 2 2 0 4.025701e-01 
26 14 2 1 1 0 0 1 2 2 1 3.178599e-01 
26 15 2 1 1 0 0 1 1 1 1 2.453760e-01 
26 16 2 2 0 -1 -1 0 2 2 1 3.929828e-01 
26 17 2 1 1 0 0 1 2 2 1 5.208753e-01 
26 18 2 4 -1 -1 0 -1 2 2 0 9.969561e-01 
26 19 2 2 -1 0 0 0 2 0 0 NaN 
26 20 2 2 0 -1 -1 0 1 1 1 2.634204e-01 
26 1 1 3 0 0 1 0 1 1 0 3.207633e-01 
26 2 1 4 -1 -1 0 -1 1 1 0 7.310957e-01 
26 3 1 1 1 0 0 1 1 1 1 3.529102e-01 
26 4 1 2 0 -1 -1 -1 1 0 0 NaN 
26 5 1 4 -1 -1 0 0 2 0 1 NaN 
26 6 1 1 1 0 0 1 2 2 1 3.860754e-01 
26 7 1 3 0 0 1 0 2 2 0 9.754328e-01 
26 8 1 3 1 1 0 1 1 1 0 2.526619e-01 
26 9 1 4 0 0 -1 -1 2 0 1 NaN 
26 10 1 1 1 0 0 1 2 2 1 3.805880e-01 
26 11 1 3 0 0 1 0 1 1 0 3.569066e-01 
26 12 1 2 0 -1 -1 0 2 2 1 4.761482e-01 
26 13 1 1 1 0 0 1 1 1 1 3.268468e-01 
26 14 1 2 -1 0 0 0 2 0 0 NaN 
26 15 1 3 0 0 1 0 2 2 0 9.524350e-01 
26 16 1 4 -1 -1 0 -1 2 2 0 9.579892e-01 
26 17 1 4 -1 -1 0 0 1 0 1 NaN 
26 18 1 2 0 -1 -1 0 2 2 1 3.842339e-01 
26 19 1 1 0 1 1 0 1 1 1 5.754783e-01 
26 20 1 2 0 -1 -1 0 1 1 1 4.643776e-01 
26 1 2 2 0 -1 -1 0 1 1 1 2.836999e-01 
26 2 2 1 1 0 0 1 2 2 1 3.509096e-01 
26 3 2 4 -1 -1 0 -1 1 1 0 7.271849e-01 
26 4 2 3 0 0 1 0 2 2 0 8.166593e-01 
26 5 2 1 0 1 1 0 1 1 1 3.414139e-01 
26 6 2 1 1 0 0 1 1 1 1 4.408335e-01 
26 7 2 1 1 0 0 0 2 0 0 NaN 
26 8 2 3 0 0 1 0 1 1 0 6.439247e-01 
26 9 2 2 -1 0 0 0 2 0 0 NaN 
26 10 2 4 -1 -1 0 -1 2 2 0 4.270086e-01 
26 11 2 1 1 0 0 1 1 1 1 4.731963e-01 
26 12 2 4 -1 -1 0 0 2 0 1 NaN 
26 13 2 3 1 1 0 1 1 1 0 3.103865e-01 
26 14 2 3 0 0 1 0 1 1 0 2.753924e-01 
26 15 2 4 -1 -1 0 0 1 0 1 NaN 
26 16 2 4 0 0 -1 0 2 2 0 8.951533e-01 
26 17 2 2 0 -1 -1 0 1 1 1 2.444507e-01 
26 18 2 2 0 -1 -1 0 2 2 1 2.543854e-01 
26 19 2 2 0 -1 -1 0 2 2 1 3.483046e-01 
26 20 2 3 0 0 1 0 2 2 0 3.733084e-01 
26 1 1 1 1 0 0 1 2 2 1 9.815885e-02 
26 2 1 2 0 -1 -1 -1 2 0 0 NaN 
26 3 1 3 0 0 1 0 2 2 0 3.720745e-01 
26 4 1 3 0 0 1 0 2 2 0 3.402107e-01 
26 5 1 2 0 -1 -1 0 1 1 1 3.606500e-01 
26 6 1 2 -1 0 0 -1 2 2 1 2.689169e-01 
26 7 1 1 1 0 0 1 2 2 1 3.748701e-01 
26 8 1 1 1 0 0 1 1 1 1 2.819030e-01 
26 9 1 4 -1 -1 0 -1 2 2 0 5.842343e-01 
26 10 1 3 1 1 0 1 1 1 0 4.113110e-01 
26 11 1 3 0 0 1 0 1 1 0 2.852907e-01 
26 12 1 4 -1 -1 0 0 2 0 1 NaN 
26 13 1 3 0 0 1 0 1 1 0 3.505436e-01 
26 14 1 4 -1 -1 0 -1 1 1 0 4.814928e-01 
26 15 1 2 0 -1 -1 0 1 1 1 5.441237e-01 
26 16 1 1 0 1 1 0 1 1 1 4.307331e-01 
26 17 1 4 0 0 -1 0 2 2 0 6.257055e-01 
26 18 1 4 -1 -1 0 0 1 0 1 NaN 
26 19 1 2 0 -1 -1 -1 2 0 0 NaN 
26 20 1 1 1 0 0 1 1 1 1 3.864911e-01 
26 1 2 4 -1 -1 0 -1 1 1 0 3.463668e-01 
26 2 2 1 1 0 0 1 2 2 1 9.236448e-01 
26 3 2 4 -1 -1 0 0 1 0 1 NaN 
26 4 2 3 0 0 1 0 2 2 0 7.402302e-01 
26 5 2 1 1 0 0 1 1 1 1 2.865247e-01 
26 6 2 3 1 1 0 1 1 1 0 3.914357e-01 
26 7 2 1 1 0 0 0 1 0 0 NaN 
26 8 2 2 0 -1 -1 0 1 1 1 4.007151e-01 
26 9 2 4 -1 -1 0 0 2 0 1 NaN 
26 10 2 2 0 -1 -1 -1 2 0 0 NaN 
26 11 2 3 0 0 1 0 1 1 0 5.656384e-01 
26 12 2 2 0 -1 -1 0 1 1 1 8.665679e-01 
26 13 2 2 -1 0 0 0 2 0 0 NaN 
26 14 2 1 1 0 0 1 2 2 1 4.067189e-01 
26 15 2 1 0 1 1 1 1 0 0 NaN 
26 16 2 3 0 0 1 0 2 2 0 3.828140e-01 
26 17 2 3 0 0 1 1 1 0 1 NaN 
26 18 2 4 -1 -1 0 -1 2 2 0 5.071025e-01 
26 19 2 2 0 -1 -1 0 2 2 1 9.644800e-01 
26 20 2 4 0 0 -1 -1 2 0 1 NaN 
26 1 1 2 0 -1 -1 0 2 2 1 2.452844e-01 
26 2 1 1 1 0 0 1 2 2 1 2.993446e-01 
26 3 1 2 0 -1 -1 0 1 1 1 9.998907e-01 
26 4 1 2 0 -1 -1 0 1 1 1 4.168513e-01 
26 5 1 3 0 0 1 1 1 0 1 NaN 
26 6 1 4 0 0 -1 -1 2 0 1 NaN 
26 7 1 4 -1 -1 0 -1 1 1 0 4.403105e-01 
26 8 1 1 1 0 0 1 1 1 1 3.202537e-01 
26 9 1 1 1 0 0 1 2 2 1 2.863554e-01 
26 10 1 3 1 1 0 1 1 1 0 4.514677e-01 
