subject,session,block,trial,exposure,stimulus,valence,action,robot,rune,color,correct,choice,rt,accuracy,sham,outcome,totalkeys
0ubclurpshlgyru3cwo3stun,1,1,78,20,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,1,79,20,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,80,20,2,win,go,gw,rune_02_cen,yellow,1,1,0.49,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,81,21,3,lose,go,gal,rune_02_raido,blue,1,1,0.724,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,82,21,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,83,21,2,win,go,gw,rune_02_cen,yellow,1,1,0.399,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,84,21,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,1,85,22,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,86,22,3,lose,go,gal,rune_02_raido,blue,1,1,0.36,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,87,22,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,1,88,22,2,win,go,gw,rune_02_cen,yellow,1,1,0.327,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,89,23,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,1,90,23,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,91,23,2,win,go,gw,rune_02_cen,yellow,1,1,0.484,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,92,23,3,lose,go,gal,rune_02_raido,blue,1,1,0.496,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,93,24,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
