	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
beta[23,2,4]	0.371	0.00434	0.441	-0.529	0.372	1.2	10357.0	0.531	1.0
beta[24,2,4]	-0.563	0.00626	0.656	-1.93	-0.552	0.674	10974.0	0.563	0.999
beta[25,2,4]	0.664	0.00381	0.349	-0.032	0.654	1.35	8409.0	0.431	0.999
beta[26,2,4]	-0.837	0.00511	0.53	-1.92	-0.833	0.159	10782.0	0.553	0.999
beta[27,2,4]	-0.0107	0.00756	0.849	-1.73	-0.0163	1.59	12603.0	0.646	0.999
beta[28,2,4]	-0.855	0.00637	0.632	-2.19	-0.845	0.302	9827.0	0.504	1.0
beta[29,2,4]	-0.19	0.00602	0.741	-1.71	-0.194	1.22	15125.0	0.776	0.999
beta[30,2,4]	0.0512	0.00627	0.64	-1.25	0.0464	1.25	10392.0	0.533	0.999
beta[31,2,4]	0.385	0.00271	0.279	-0.177	0.384	0.918	10565.0	0.542	1.0
beta[32,2,4]	-0.0156	0.00452	0.454	-0.971	-0.0169	0.842	10078.0	0.517	0.999
beta[33,2,4]	0.871	0.00565	0.499	-0.123	0.869	1.82	7800.0	0.4	1.0
beta[34,2,4]	-0.16	0.00512	0.503	-1.16	-0.161	0.793	9625.0	0.494	1.0
beta[35,2,4]	-0.0708	0.00797	0.814	-1.74	-0.069	1.44	10414.0	0.534	1.0
beta[36,2,4]	0.365	0.00452	0.481	-0.59	0.355	1.28	11364.0	0.583	1.0
beta[37,2,4]	-0.346	0.00405	0.413	-1.19	-0.351	0.448	10383.0	0.533	1.0
beta[38,2,4]	0.0407	0.00268	0.276	-0.52	0.0426	0.556	10633.0	0.545	1.0
beta[39,2,4]	-0.834	0.00558	0.567	-1.99	-0.842	0.214	10308.0	0.529	1.0
beta[40,2,4]	0.63	0.00256	0.272	0.0755	0.632	1.13	11336.0	0.581	1.0
beta[41,2,4]	4.8	0.00593	0.496	3.82	4.78	5.79	7004.0	0.359	1.0
beta[42,2,4]	-0.239	0.00451	0.52	-1.31	-0.246	0.74	13265.0	0.68	1.0
beta[43,2,4]	0.00355	0.00715	0.854	-1.77	-0.00467	1.63	14293.0	0.733	0.999
beta[44,2,4]	0.132	0.00341	0.317	-0.506	0.128	0.755	8652.0	0.444	1.0
beta[45,2,4]	-0.231	0.00537	0.486	-1.21	-0.238	0.724	8203.0	0.421	1.0
beta[46,2,4]	-0.00263	0.00708	0.836	-1.71	-0.00297	1.58	13919.0	0.714	0.999
beta[47,2,4]	-0.423	0.00486	0.509	-1.46	-0.431	0.55	10970.0	0.563	1.0
beta[48,2,4]	0.325	0.00675	0.738	-1.21	0.32	1.74	11974.0	0.614	0.999
beta[49,2,4]	0.484	0.00574	0.638	-0.805	0.488	1.72	12359.0	0.634	0.999
beta[50,2,4]	0.00191	0.00732	0.845	-1.73	0.012	1.6	13332.0	0.684	0.999
beta[51,2,4]	-0.399	0.00512	0.414	-1.22	-0.41	0.398	6535.0	0.335	1.0
beta[52,2,4]	-0.322	0.00505	0.521	-1.39	-0.329	0.657	10655.0	0.547	1.0
beta[53,2,4]	-0.282	0.00345	0.425	-1.14	-0.283	0.52	15187.0	0.779	0.999
beta[54,2,4]	0.818	0.00337	0.331	0.167	0.818	1.45	9604.0	0.493	1.0
beta[55,2,4]	0.594	0.00584	0.598	-0.611	0.591	1.71	10482.0	0.538	0.999
beta[56,2,4]	-0.0696	0.00626	0.608	-1.33	-0.0899	1.1	9412.0	0.483	0.999
beta[57,2,4]	-0.403	0.00404	0.431	-1.28	-0.41	0.435	11349.0	0.582	0.999
beta[58,2,4]	0.00951	0.00787	0.867	-1.77	0.0102	1.64	12141.0	0.623	1.0
beta[59,2,4]	0.388	0.00447	0.368	-0.34	0.381	1.1	6786.0	0.348	1.0
beta[60,2,4]	0.315	0.00455	0.372	-0.42	0.31	1.04	6684.0	0.343	1.0
beta[61,2,4]	0.707	0.0051	0.527	-0.352	0.694	1.73	10692.0	0.548	0.999
beta[62,2,4]	0.889	0.00515	0.449	-0.0145	0.878	1.79	7610.0	0.39	1.0
beta[63,2,4]	-0.0323	0.00559	0.592	-1.21	-0.0312	1.08	11199.0	0.574	1.0
beta[64,2,4]	0.268	0.00665	0.659	-1.1	0.258	1.54	9802.0	0.503	0.999
beta[65,2,4]	1.21	0.00457	0.42	0.393	1.21	2.01	8430.0	0.432	1.0
beta[66,2,4]	-0.397	0.00535	0.601	-1.63	-0.404	0.733	12586.0	0.646	0.999
beta[67,2,4]	-0.954	0.00367	0.394	-1.79	-0.959	-0.212	11529.0	0.591	0.999
beta[68,2,4]	-0.78	0.00578	0.611	-2.03	-0.776	0.35	11173.0	0.573	0.999
beta[69,2,4]	0.971	0.00391	0.359	0.237	0.962	1.67	8414.0	0.432	1.0
beta[70,2,4]	2.21	0.00469	0.428	1.36	2.2	3.03	8325.0	0.427	1.0
beta[71,2,4]	-1.19	0.00551	0.57	-2.4	-1.18	-0.137	10715.0	0.55	1.0
beta[72,2,4]	-0.0734	0.00467	0.401	-0.868	-0.0828	0.715	7371.0	0.378	1.0
beta[73,2,4]	0.152	0.00509	0.529	-0.925	0.144	1.16	10789.0	0.553	1.0
beta[74,2,4]	0.312	0.00336	0.374	-0.454	0.306	1.02	12413.0	0.637	0.999
beta[75,2,4]	-0.265	0.00514	0.534	-1.36	-0.263	0.743	10802.0	0.554	0.999
beta[76,2,4]	-0.383	0.00673	0.68	-1.83	-0.377	0.917	10224.0	0.524	1.0
beta[77,2,4]	-0.13	0.00418	0.464	-1.08	-0.133	0.742	12333.0	0.633	1.0
beta[78,2,4]	-0.391	0.00476	0.521	-1.48	-0.394	0.595	12003.0	0.616	0.999
beta[79,2,4]	-0.0927	0.00452	0.481	-1.08	-0.0937	0.811	11337.0	0.582	1.0
beta[80,2,4]	-0.265	0.00534	0.514	-1.32	-0.266	0.695	9267.0	0.475	1.0
beta[81,2,4]	-0.217	0.00675	0.684	-1.64	-0.227	1.09	10260.0	0.526	1.0
beta[82,2,4]	-0.781	0.00579	0.591	-1.97	-0.771	0.324	10416.0	0.534	1.0
beta[83,2,4]	-0.942	0.00588	0.608	-2.21	-0.941	0.209	10692.0	0.548	1.0
beta[84,2,4]	0.266	0.00311	0.302	-0.337	0.262	0.849	9450.0	0.485	1.0
beta[85,2,4]	-0.251	0.00419	0.441	-1.15	-0.257	0.574	11050.0	0.567	1.0
beta[86,2,4]	0.0489	0.00692	0.711	-1.39	0.0348	1.42	10541.0	0.541	1.0
beta[87,2,4]	-0.265	0.00388	0.419	-1.14	-0.269	0.529	11667.0	0.598	0.999
beta[88,2,4]	-0.245	0.00531	0.537	-1.36	-0.246	0.789	10212.0	0.524	0.999
beta[89,2,4]	0.00782	0.00759	0.863	-1.73	-0.000478	1.63	12914.0	0.662	0.999
