name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b2[2,99]	0.513	0.00347	0.24	0.0307	0.511	0.982	4792.0	0.665	1.0
b2[2,100]	0.129	0.00395	0.247	-0.362	0.127	0.593	3915.0	0.544	1.0
b2[2,101]	0.729	0.00419	0.285	0.16	0.721	1.29	4613.0	0.641	1.0
b2[2,102]	-0.134	0.00434	0.275	-0.689	-0.135	0.389	4007.0	0.556	1.0
b2[2,103]	0.341	0.0025	0.175	-0.0164	0.342	0.668	4896.0	0.68	0.999
b3[1,1]	0.915	0.00589	0.409	0.0824	0.907	1.69	4804.0	0.667	1.0
b3[1,2]	1.3	0.00369	0.256	0.784	1.3	1.78	4805.0	0.667	1.0
b3[1,3]	0.661	0.00393	0.316	0.0172	0.657	1.25	6469.0	0.898	0.999
b3[1,4]	1.3	0.00543	0.394	0.507	1.29	2.05	5272.0	0.732	1.0
b3[1,5]	0.135	0.00448	0.33	-0.563	0.139	0.741	5408.0	0.751	1.0
b3[1,6]	0.737	0.00501	0.36	-0.018	0.739	1.41	5172.0	0.718	1.0
b3[1,7]	1.39	0.00673	0.394	0.609	1.37	2.16	3426.0	0.476	1.0
b3[1,8]	1.42	0.00546	0.41	0.595	1.42	2.2	5651.0	0.785	1.0
b3[1,9]	1.32	0.00357	0.282	0.747	1.32	1.85	6231.0	0.865	1.0
b3[1,10]	0.425	0.00502	0.373	-0.335	0.429	1.13	5504.0	0.764	1.0
b3[1,11]	1.61	0.00493	0.382	0.85	1.61	2.35	6002.0	0.834	1.0
b3[1,12]	0.691	0.0041	0.286	0.118	0.688	1.24	4858.0	0.675	0.999
b3[1,13]	1.07	0.00491	0.39	0.298	1.07	1.8	6300.0	0.875	0.999
b3[1,14]	0.833	0.00346	0.262	0.297	0.831	1.34	5711.0	0.793	1.0
b3[1,15]	0.401	0.00396	0.296	-0.2	0.398	0.96	5600.0	0.778	1.0
b3[1,16]	1.38	0.00662	0.46	0.461	1.36	2.28	4830.0	0.671	1.0
b3[1,17]	0.248	0.00518	0.37	-0.513	0.252	0.954	5104.0	0.709	1.0
b3[1,18]	1.7	0.00907	0.545	0.63	1.68	2.76	3608.0	0.501	1.0
b3[1,19]	1.89	0.00463	0.36	1.17	1.89	2.58	6049.0	0.84	1.0
b3[1,20]	1.06	0.00517	0.374	0.304	1.05	1.77	5220.0	0.725	1.0
b3[1,21]	1.32	0.00852	0.537	0.243	1.31	2.34	3975.0	0.552	1.0
b3[1,22]	1.13	0.00598	0.414	0.304	1.12	1.92	4806.0	0.667	1.0
b3[1,23]	1.69	0.00405	0.324	1.04	1.68	2.32	6373.0	0.885	1.0
b3[1,24]	0.942	0.00454	0.368	0.204	0.936	1.65	6565.0	0.912	0.999
b3[1,25]	1.23	0.00468	0.342	0.549	1.22	1.9	5327.0	0.74	1.0
b3[1,26]	0.867	0.00609	0.456	-0.0308	0.863	1.74	5611.0	0.779	1.0
b3[1,27]	0.638	0.00316	0.242	0.136	0.64	1.09	5852.0	0.813	1.0
b3[1,28]	1.28	0.00594	0.423	0.422	1.27	2.09	5076.0	0.705	1.0
b3[1,29]	0.492	0.00631	0.407	-0.336	0.485	1.28	4174.0	0.58	1.0
b3[1,30]	0.248	0.00533	0.361	-0.499	0.253	0.904	4573.0	0.635	1.0
b3[1,31]	1.32	0.00387	0.262	0.785	1.33	1.83	4608.0	0.64	1.0
b3[1,32]	1.21	0.00512	0.357	0.486	1.21	1.89	4868.0	0.676	1.0
b3[1,33]	1.35	0.00433	0.352	0.645	1.34	2.03	6589.0	0.915	1.0
b3[1,34]	1.36	0.00514	0.402	0.555	1.36	2.13	6106.0	0.848	1.0
b3[1,35]	1.27	0.00485	0.358	0.544	1.27	1.96	5448.0	0.757	1.0
