name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_d_pr[2,53]	-0.762	0.0119	0.661	-2.09	-0.751	0.487	3070.0	0.219	1.0
theta_d_pr[2,54]	0.321	0.0414	0.817	-1.33	0.307	1.85	390.0	0.0278	1.01
theta_d_pr[2,55]	0.419	0.0106	0.767	-1.18	0.444	1.86	5281.0	0.376	1.0
theta_d_pr[2,56]	0.39	0.0109	0.631	-0.937	0.394	1.58	3340.0	0.238	1.0
theta_d_pr[2,57]	0.466	0.0125	0.766	-1.11	0.457	1.91	3767.0	0.268	1.0
theta_d_pr[2,58]	-1.2	0.00949	0.616	-2.46	-1.21	-0.0307	4213.0	0.3	1.0
theta_d_pr[2,59]	0.568	0.0105	0.73	-0.962	0.565	1.98	4861.0	0.346	1.0
theta_d_pr[2,60]	0.298	0.0202	0.685	-1.13	0.298	1.57	1148.0	0.0817	1.0
theta_d_pr[2,61]	-1.36	0.0344	0.565	-2.55	-1.33	-0.35	270.0	0.0192	1.02
theta_d_pr[2,62]	0.714	0.0149	0.692	-0.731	0.707	1.99	2147.0	0.153	1.0
theta_d_pr[2,63]	-0.0596	0.00824	0.585	-1.25	-0.072	1.07	5047.0	0.359	1.0
theta_d_pr[2,64]	-0.208	0.0119	0.689	-1.63	-0.188	1.12	3326.0	0.237	1.0
theta_d_pr[2,65]	-1.43	0.0105	0.632	-2.78	-1.43	-0.252	3593.0	0.256	1.0
theta_d_pr[2,66]	0.321	0.0123	0.797	-1.35	0.337	1.8	4179.0	0.297	1.0
theta_d_pr[2,67]	0.904	0.0137	0.751	-0.612	0.881	2.31	2987.0	0.213	1.0
theta_d_pr[2,68]	1.11	0.0107	0.703	-0.324	1.11	2.44	4360.0	0.31	1.0
theta_d_pr[2,69]	1.33	0.0142	0.751	-0.231	1.33	2.77	2774.0	0.197	1.0
theta_d_pr[2,70]	0.366	0.00888	0.654	-1.02	0.378	1.63	5428.0	0.386	1.0
theta_d_pr[2,71]	-0.639	0.025	0.674	-1.94	-0.631	0.626	727.0	0.0517	1.0
theta_d_pr[2,72]	1.1	0.0111	0.784	-0.541	1.12	2.55	4969.0	0.354	1.0
theta_d_pr[2,73]	0.915	0.0202	0.675	-0.394	0.905	2.21	1113.0	0.0792	1.0
theta_d_pr[2,74]	0.956	0.0344	0.813	-0.677	0.929	2.43	559.0	0.0398	1.01
theta_d_pr[2,75]	-0.472	0.0266	0.496	-1.51	-0.458	0.429	348.0	0.0248	1.01
theta_d_pr[2,76]	0.407	0.0325	0.753	-1.09	0.412	1.83	539.0	0.0383	1.01
theta_d_pr[2,77]	0.938	0.0108	0.72	-0.548	0.93	2.28	4415.0	0.314	1.0
theta_d_pr[2,78]	-1.12	0.00908	0.639	-2.43	-1.11	0.089	4957.0	0.353	1.0
theta_d_pr[2,79]	-1.32	0.0125	0.732	-2.88	-1.28	0.0407	3453.0	0.246	1.0
theta_d_pr[2,80]	0.847	0.0275	0.748	-0.697	0.845	2.21	738.0	0.0525	1.01
theta_d_pr[2,81]	0.721	0.0101	0.736	-0.78	0.713	2.14	5292.0	0.377	1.0
theta_d_pr[2,82]	-0.382	0.0146	0.654	-1.73	-0.394	0.837	2011.0	0.143	1.0
theta_d_pr[2,83]	-1.28	0.0329	0.666	-2.6	-1.26	-0.0659	410.0	0.0292	1.01
theta_d_pr[2,84]	-0.265	0.00991	0.54	-1.35	-0.258	0.738	2972.0	0.212	1.0
theta_d_pr[2,85]	0.0851	0.0345	0.619	-1.19	0.0769	1.31	322.0	0.0229	1.01
theta_d_pr[2,86]	-0.238	0.0226	0.662	-1.58	-0.24	1.01	860.0	0.0612	1.01
theta_d_pr[2,87]	-1.04	0.0071	0.475	-2.04	-1.04	-0.145	4474.0	0.318	1.0
theta_d_pr[2,88]	-0.159	0.0162	0.73	-1.62	-0.163	1.23	2038.0	0.145	1.0
theta_d_pr[2,89]	0.342	0.00914	0.642	-0.996	0.35	1.55	4942.0	0.352	1.0
theta_d_pr[2,90]	0.27	0.0093	0.581	-0.93	0.261	1.35	3894.0	0.277	1.0
theta_d_pr[2,91]	0.791	0.00976	0.703	-0.658	0.792	2.11	5194.0	0.37	1.0
theta_d_pr[2,92]	-0.684	0.0401	0.706	-2.13	-0.703	0.779	310.0	0.0221	1.01
theta_d_pr[2,93]	-0.296	0.0135	0.48	-1.22	-0.305	0.632	1263.0	0.0899	1.01
theta_d_pr[3,1]	0.168	0.0227	0.702	-1.29	0.164	1.45	957.0	0.0681	1.0
theta_d_pr[3,2]	-0.212	0.0107	0.597	-1.45	-0.196	0.92	3112.0	0.221	1.0
theta_d_pr[3,3]	-0.256	0.0088	0.663	-1.61	-0.251	1.01	5675.0	0.404	1.0
theta_d_pr[3,4]	0.776	0.0121	0.669	-0.627	0.767	2.04	3033.0	0.216	1.0
theta_d_pr[3,5]	0.485	0.00881	0.602	-0.757	0.5	1.62	4668.0	0.332	1.0
theta_d_pr[3,6]	-0.306	0.0256	0.618	-1.51	-0.3	0.841	581.0	0.0414	1.01
theta_d_pr[3,7]	0.276	0.0148	0.636	-1.0	0.257	1.5	1836.0	0.131	1.0
theta_d_pr[3,8]	-0.428	0.011	0.641	-1.71	-0.442	0.779	3396.0	0.242	1.0
theta_d_pr[3,9]	1.31	0.0333	0.538	0.258	1.29	2.45	261.0	0.0186	1.02
