Subject,Block,Trial,Valence,Exposure,Action,Robot,Rune,Color,Correct,Choice,RT,Accuracy,Sham,Outcome,TotalKeys
0ubclurpshlgyru3cwo3stun,1,27,Lose,7,Go,GAL,rune_02_raido,blue,1,1,1.241,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,28,Win,7,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,29,Win,8,Go,GW,rune_02_cen,yellow,1,1,0.507,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,30,Win,8,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,31,Lose,8,Go,GAL,rune_02_raido,blue,1,1,0.918,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,1,32,Lose,8,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,33,Win,9,Go,GW,rune_02_cen,yellow,1,1,0.426,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,34,Lose,9,Go,GAL,rune_02_raido,blue,1,1,0.532,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,35,Lose,9,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,36,Win,9,No-Go,NGW,rune_02_os,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,1,37,Lose,10,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,38,Win,10,Go,GW,rune_02_cen,yellow,1,1,0.31,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,1,39,Win,10,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,40,Lose,10,Go,GAL,rune_02_raido,blue,1,1,0.481,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,41,Win,11,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,42,Win,11,Go,GW,rune_02_cen,yellow,1,1,0.374,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,43,Lose,11,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,44,Lose,11,Go,GAL,rune_02_raido,blue,1,1,0.605,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,45,Win,12,Go,GW,rune_02_cen,yellow,1,1,0.4,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,46,Win,12,No-Go,NGW,rune_02_os,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,1,47,Lose,12,Go,GAL,rune_02_raido,blue,1,1,0.672,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,48,Lose,12,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,49,Lose,13,Go,GAL,rune_02_raido,blue,1,1,0.621,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,50,Win,13,Go,GW,rune_02_cen,yellow,1,1,0.47,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,51,Lose,13,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,1,52,Win,13,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,53,Win,14,Go,GW,rune_02_cen,yellow,1,1,0.396,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,54,Lose,14,Go,GAL,rune_02_raido,blue,1,1,0.413,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,1,55,Lose,14,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,56,Win,14,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,57,Lose,15,Go,GAL,rune_02_raido,blue,1,1,0.569,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,58,Win,15,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,59,Lose,15,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,60,Win,15,Go,GW,rune_02_cen,yellow,1,1,0.341,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,1,61,Win,16,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,62,Win,16,Go,GW,rune_02_cen,yellow,1,1,0.389,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,63,Lose,16,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,64,Lose,16,Go,GAL,rune_02_raido,blue,1,1,0.614,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,65,Lose,17,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,66,Lose,17,Go,GAL,rune_02_raido,blue,1,1,0.511,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,67,Win,17,Go,GW,rune_02_cen,yellow,1,1,0.371,1,1.0,+1,1
