subject,session,block,runsheet,trial,exposure,stimulus,valence,action,robot,rune,rune_set,correct,choice,rt,accuracy,sham,outcome,total_keys
09byk3dg92is9b06rwaybmoh,3,1,3b,62,6,18,win,no-go,ngw,W,elianto,0,1,0.895,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,63,8,23,lose,no-go,ngal,P,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,64,8,21,lose,go,gal,S,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,65,7,18,win,no-go,ngw,W,elianto,0,1,0.443,0,0.0,+1,2
09byk3dg92is9b06rwaybmoh,3,1,3b,66,9,21,lose,go,gal,S,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,67,9,23,lose,no-go,ngal,P,elianto,0,1,0.845,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,68,5,22,lose,no-go,ngal,E,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,69,6,22,lose,no-go,ngal,E,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,70,8,18,win,no-go,ngw,W,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,71,10,23,lose,no-go,ngal,P,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,72,10,21,lose,go,gal,S,elianto,1,1,1.255,1,0.0,-1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,73,9,18,win,no-go,ngw,W,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,74,7,22,lose,no-go,ngal,E,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,75,11,21,lose,go,gal,S,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,76,1,24,lose,no-go,ngal,K,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,77,12,21,lose,go,gal,S,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,78,8,22,lose,no-go,ngal,E,elianto,0,1,1.065,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,79,10,18,win,no-go,ngw,W,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,80,2,24,lose,no-go,ngal,K,elianto,0,0,,1,1.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,81,11,18,win,no-go,ngw,W,elianto,0,1,0.89,0,1.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,82,1,20,lose,go,gal,J,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,83,1,14,win,go,gw,D,elianto,1,1,0.996,1,1.0,+1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,84,3,24,lose,no-go,ngal,K,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,85,4,24,lose,no-go,ngal,K,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,86,2,20,lose,go,gal,J,elianto,1,0,,0,1.0,-1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,87,12,18,win,no-go,ngw,W,elianto,0,1,0.684,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,88,2,14,win,go,gw,D,elianto,1,0,,0,0.0,+1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,89,1,13,win,go,gw,V,elianto,1,0,,0,1.0,+10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,90,5,24,lose,no-go,ngal,K,elianto,0,1,0.704,0,1.0,-1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,91,3,20,lose,go,gal,J,elianto,1,1,0.967,1,0.0,-1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,92,3,14,win,go,gw,D,elianto,1,0,,0,0.0,+1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,93,6,24,lose,no-go,ngal,K,elianto,0,1,0.835,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,94,4,20,lose,go,gal,J,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,95,4,14,win,go,gw,D,elianto,1,0,,0,0.0,+1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,96,2,13,win,go,gw,V,elianto,1,1,0.542,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,97,3,13,win,go,gw,V,elianto,1,1,0.9,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,98,7,24,lose,no-go,ngal,K,elianto,0,1,0.967,0,1.0,-1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,99,5,20,lose,go,gal,J,elianto,1,1,0.904,1,0.0,-1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,100,5,14,win,go,gw,D,elianto,1,1,1.009,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,101,6,14,win,go,gw,D,elianto,1,1,0.671,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,102,6,20,lose,go,gal,J,elianto,1,1,0.846,1,1.0,-10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,103,8,24,lose,no-go,ngal,K,elianto,0,1,0.738,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,104,4,13,win,go,gw,V,elianto,1,1,0.993,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,105,7,20,lose,go,gal,J,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,106,9,24,lose,no-go,ngal,K,elianto,0,1,0.722,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,107,5,13,win,go,gw,V,elianto,1,1,1.251,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,108,7,14,win,go,gw,D,elianto,1,1,0.941,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,109,8,14,win,go,gw,D,elianto,1,1,0.593,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,110,8,20,lose,go,gal,J,elianto,1,0,,0,1.0,-1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,111,6,13,win,go,gw,V,elianto,1,1,0.704,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,112,10,24,lose,no-go,ngal,K,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,113,9,20,lose,go,gal,J,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,1,3b,114,7,13,win,go,gw,V,elianto,1,1,0.679,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,115,9,14,win,go,gw,D,elianto,1,1,0.929,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,116,11,24,lose,no-go,ngal,K,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,1,3b,117,10,20,lose,go,gal,J,elianto,1,0,,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,118,12,24,lose,no-go,ngal,K,elianto,0,1,0.973,0,1.0,-1,1
09byk3dg92is9b06rwaybmoh,3,1,3b,119,10,14,win,go,gw,D,elianto,1,1,0.887,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,1,3b,120,8,13,win,go,gw,V,elianto,1,1,0.613,1,1.0,+1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,121,1,8,lose,go,gal,N,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,122,1,4,win,no-go,ngw,Q,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,123,1,1,win,go,gw,X,elianto,1,0,,0,1.0,+10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,124,1,12,lose,no-go,ngal,F,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,125,2,12,lose,no-go,ngal,F,elianto,0,1,0.837,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,126,2,1,win,go,gw,X,elianto,1,1,0.792,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,127,2,8,lose,go,gal,N,elianto,1,0,,0,1.0,-1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,128,2,4,win,no-go,ngw,Q,elianto,0,1,0.772,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,129,3,8,lose,go,gal,N,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,130,3,1,win,go,gw,X,elianto,1,1,0.752,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,131,3,4,win,no-go,ngw,Q,elianto,0,1,0.659,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,132,3,12,lose,no-go,ngal,F,elianto,0,1,1.099,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,133,4,1,win,go,gw,X,elianto,1,1,0.804,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,134,4,4,win,no-go,ngw,Q,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,135,4,8,lose,go,gal,N,elianto,1,0,,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,136,4,12,lose,no-go,ngal,F,elianto,0,0,,1,0.0,-1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,137,5,1,win,go,gw,X,elianto,1,0,,0,0.0,+1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,138,5,12,lose,no-go,ngal,F,elianto,0,1,1.143,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,139,5,8,lose,go,gal,N,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,140,5,4,win,no-go,ngw,Q,elianto,0,1,0.633,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,141,6,12,lose,no-go,ngal,F,elianto,0,0,,1,1.0,-10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,142,6,4,win,no-go,ngw,Q,elianto,0,1,0.628,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,143,6,1,win,go,gw,X,elianto,1,1,0.084,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,144,6,8,lose,go,gal,N,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,145,7,12,lose,no-go,ngal,F,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,146,7,4,win,no-go,ngw,Q,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,147,7,8,lose,go,gal,N,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,148,7,1,win,go,gw,X,elianto,1,1,0.568,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,149,8,1,win,go,gw,X,elianto,1,1,0.579,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,150,8,4,win,no-go,ngw,Q,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,151,8,12,lose,no-go,ngal,F,elianto,0,0,,1,1.0,-10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,152,8,8,lose,go,gal,N,elianto,1,1,0.87,1,0.0,-1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,153,9,12,lose,no-go,ngal,F,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,154,1,11,lose,no-go,ngal,B,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,155,1,9,lose,go,gal,T,elianto,1,1,0.797,1,0.0,-1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,156,9,8,lose,go,gal,N,elianto,1,0,,0,1.0,-1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,157,10,12,lose,no-go,ngal,F,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,158,2,11,lose,no-go,ngal,B,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,159,2,9,lose,go,gal,T,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,160,10,8,lose,go,gal,N,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,161,11,12,lose,no-go,ngal,F,elianto,0,1,0.603,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,162,3,11,lose,no-go,ngal,B,elianto,0,1,0.929,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,163,1,6,win,no-go,ngw,C,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,164,3,9,lose,go,gal,T,elianto,1,0,,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,165,4,11,lose,no-go,ngal,B,elianto,0,0,,1,1.0,-10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,166,12,12,lose,no-go,ngal,F,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,167,2,6,win,no-go,ngw,C,elianto,0,1,0.82,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,168,4,9,lose,go,gal,T,elianto,1,1,0.762,1,0.0,-1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,169,3,6,win,no-go,ngw,C,elianto,0,1,0.728,0,1.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,170,5,11,lose,no-go,ngal,B,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,171,5,9,lose,go,gal,T,elianto,1,0,,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,172,1,2,win,go,gw,Z,elianto,1,0,,0,0.0,+1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,173,4,6,win,no-go,ngw,C,elianto,0,1,0.886,0,1.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,174,2,2,win,go,gw,Z,elianto,1,0,,0,0.0,+1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,175,6,11,lose,no-go,ngal,B,elianto,0,1,0.847,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,176,6,9,lose,go,gal,T,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,177,3,2,win,go,gw,Z,elianto,1,0,,0,0.0,+1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,178,7,9,lose,go,gal,T,elianto,1,1,0.652,1,0.0,-1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,179,5,6,win,no-go,ngw,C,elianto,0,1,0.722,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,180,7,11,lose,no-go,ngal,B,elianto,0,1,0.727,0,0.0,-10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,181,6,6,win,no-go,ngw,C,elianto,0,1,0.658,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,182,8,11,lose,no-go,ngal,B,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,183,8,9,lose,go,gal,T,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,184,4,2,win,go,gw,Z,elianto,1,1,1.227,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,185,9,9,lose,go,gal,T,elianto,1,1,1.177,1,1.0,-10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,186,9,11,lose,no-go,ngal,B,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,187,5,2,win,go,gw,Z,elianto,1,0,,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,188,7,6,win,no-go,ngw,C,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,189,10,11,lose,no-go,ngal,B,elianto,0,0,,1,0.0,-1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,190,6,2,win,go,gw,Z,elianto,1,1,1.27,1,1.0,+1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,191,8,6,win,no-go,ngw,C,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,192,10,9,lose,go,gal,T,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,193,1,3,win,go,gw,H,elianto,1,1,0.627,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,194,7,2,win,go,gw,Z,elianto,1,0,,0,0.0,+1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,195,11,9,lose,go,gal,T,elianto,1,1,0.308,1,0.0,-1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,196,9,6,win,no-go,ngw,C,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,197,12,9,lose,go,gal,T,elianto,1,1,0.849,1,0.0,-1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,198,10,6,win,no-go,ngw,C,elianto,0,1,1.116,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,199,2,3,win,go,gw,H,elianto,1,1,0.811,1,1.0,+1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,200,8,2,win,go,gw,Z,elianto,1,0,,0,0.0,+1,0
09byk3dg92is9b06rwaybmoh,3,2,3a,201,11,6,win,no-go,ngw,C,elianto,0,1,0.998,0,1.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,202,1,5,win,no-go,ngw,Y,elianto,0,1,1.044,0,1.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,203,9,2,win,go,gw,Z,elianto,1,1,0.657,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,204,3,3,win,go,gw,H,elianto,1,1,0.541,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,205,12,6,win,no-go,ngw,C,elianto,0,1,0.46,0,1.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,206,4,3,win,go,gw,H,elianto,1,1,0.41,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,207,2,5,win,no-go,ngw,Y,elianto,0,0,,1,0.0,+10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,208,10,2,win,go,gw,Z,elianto,1,1,0.805,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,209,1,10,lose,no-go,ngal,M,elianto,0,0,,1,1.0,-10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,210,5,3,win,go,gw,H,elianto,1,1,0.803,1,0.0,+10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,211,1,7,lose,go,gal,R,elianto,1,0,,0,0.0,-10,0
09byk3dg92is9b06rwaybmoh,3,2,3a,212,3,5,win,no-go,ngw,Y,elianto,0,1,0.918,0,0.0,+1,1
09byk3dg92is9b06rwaybmoh,3,2,3a,213,2,10,lose,no-go,ngal,M,elianto,0,0,,1,1.0,-10,1
09byk3dg92is9b06rwaybmoh,3,2,3a,214,6,3,win,go,gw,H,elianto,1,1,0.355,1,0.0,+10,1
