name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
beta[5]	7.39	0.0677	2.03	4.35	7.28	11.0	903.0	0.696	1.0
beta[6]	2.69	0.0129	0.487	1.98	2.63	3.52	1417.0	1.09	1.0
beta[7]	1.68	0.0166	0.486	1.08	1.59	2.46	854.0	0.658	1.0
beta[8]	4.22	0.0819	1.96	2.1	3.67	8.3	570.0	0.439	1.0
beta[9]	2.89	0.00701	0.407	2.24	2.87	3.6	3364.0	2.59	0.999
beta[10]	5.05	0.129	2.53	1.99	4.47	10.1	383.0	0.295	1.01
beta[11]	7.51	0.0457	1.69	5.03	7.37	10.6	1369.0	1.06	1.0
beta[12]	4.52	0.0208	0.924	3.2	4.41	6.08	1968.0	1.52	0.999
beta[13]	11.5	0.0611	1.82	8.72	11.4	14.6	887.0	0.684	1.0
beta[14]	4.26	0.0647	1.49	2.58	3.9	7.2	532.0	0.41	1.01
beta[15]	1.81	0.00726	0.334	1.31	1.78	2.37	2116.0	1.63	0.999
beta[16]	11.4	0.0559	1.84	8.48	11.3	14.5	1084.0	0.835	1.0
beta[17]	6.62	0.332	3.82	0.788	7.17	12.5	132.0	0.102	1.02
beta[18]	8.6	0.0425	1.5	6.37	8.48	11.3	1246.0	0.96	1.0
beta[19]	1.83	0.00539	0.286	1.38	1.81	2.29	2817.0	2.17	1.0
beta[20]	4.05	0.0872	1.84	2.11	3.5	7.84	445.0	0.343	1.01
beta[21]	5.09	0.0803	1.92	2.64	4.71	8.75	570.0	0.439	1.01
beta[22]	3.38	0.0485	1.21	2.09	3.09	5.82	625.0	0.481	1.0
beta[23]	7.68	0.0453	1.64	5.23	7.5	10.6	1318.0	1.02	1.0
beta[24]	3.07	0.00999	0.486	2.34	3.04	3.9	2367.0	1.82	0.999
beta[25]	2.08	0.015	0.52	1.36	2.01	2.97	1208.0	0.931	1.0
beta[26]	3.1	0.0938	1.75	1.44	2.57	6.67	348.0	0.268	1.01
beta[27]	6.06	0.132	2.7	2.24	5.83	10.9	418.0	0.322	1.01
beta[28]	2.55	0.101	1.54	1.36	2.09	5.76	233.0	0.18	1.02
beta[29]	4.46	0.0316	1.12	2.98	4.25	6.56	1268.0	0.977	1.0
beta[30]	2.96	0.0506	1.21	1.77	2.65	5.17	576.0	0.444	1.0
beta[31]	4.65	0.11	2.54	1.78	3.91	9.71	538.0	0.415	1.0
beta[32]	5.28	0.0787	1.82	2.92	4.88	8.69	534.0	0.411	1.01
beta[33]	2.28	0.0145	0.568	1.53	2.19	3.31	1531.0	1.18	1.0
beta[34]	7.7	0.0592	1.84	4.92	7.5	10.9	970.0	0.748	1.0
