	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
beta[10,1,5]	-0.181	0.00679	0.45	-1.13	-0.183	0.632	4378.0	1.7	1.0
beta[11,1,5]	0.937	0.00979	0.525	-0.124	0.929	1.92	2877.0	1.12	0.998
beta[12,1,5]	-0.278	0.00766	0.467	-1.23	-0.282	0.62	3710.0	1.44	1.0
beta[13,1,5]	0.583	0.00982	0.524	-0.491	0.578	1.56	2844.0	1.1	0.999
beta[14,1,5]	0.118	0.0075	0.483	-0.9	0.107	1.05	4145.0	1.61	0.998
beta[15,1,5]	-0.972	0.00751	0.467	-1.93	-0.967	-0.104	3859.0	1.5	1.0
beta[16,1,5]	2.06	0.0122	0.625	0.823	2.05	3.23	2609.0	1.01	1.0
beta[17,1,5]	-1.25	0.00653	0.456	-2.16	-1.25	-0.363	4876.0	1.89	0.998
beta[18,1,5]	0.271	0.00856	0.51	-0.726	0.264	1.28	3556.0	1.38	0.999
beta[19,1,5]	-0.808	0.00694	0.431	-1.69	-0.799	-0.000914	3868.0	1.5	0.999
beta[20,1,5]	0.501	0.00863	0.47	-0.432	0.504	1.4	2964.0	1.15	0.999
beta[21,1,5]	-1.41	0.00779	0.454	-2.29	-1.41	-0.536	3401.0	1.32	1.0
beta[22,1,5]	-0.352	0.00713	0.461	-1.29	-0.348	0.535	4188.0	1.62	0.999
beta[23,1,5]	-0.698	0.00782	0.486	-1.7	-0.698	0.246	3863.0	1.5	0.998
beta[24,1,5]	-0.193	0.00711	0.447	-1.08	-0.202	0.653	3957.0	1.53	0.999
beta[25,1,5]	-1.44	0.00745	0.433	-2.33	-1.44	-0.634	3382.0	1.31	0.999
beta[26,1,5]	-0.0475	0.00748	0.478	-0.994	-0.0387	0.815	4083.0	1.58	0.999
beta[27,1,5]	0.147	0.008	0.474	-0.878	0.14	1.04	3512.0	1.36	0.999
beta[28,1,5]	-0.019	0.00861	0.466	-0.959	-0.0269	0.858	2930.0	1.14	1.0
beta[29,1,5]	-0.256	0.00804	0.475	-1.29	-0.267	0.643	3489.0	1.35	0.999
beta[30,1,5]	0.305	0.00836	0.495	-0.698	0.318	1.26	3513.0	1.36	0.999
beta[31,1,5]	-1.22	0.00766	0.451	-2.15	-1.22	-0.421	3469.0	1.34	0.999
beta[32,1,5]	0.784	0.00754	0.474	-0.171	0.778	1.7	3944.0	1.53	0.999
beta[33,1,5]	-0.171	0.00685	0.418	-1.04	-0.169	0.636	3717.0	1.44	0.999
beta[34,1,5]	-0.42	0.00802	0.48	-1.43	-0.424	0.497	3576.0	1.39	0.999
beta[35,1,5]	1.43	0.0105	0.57	0.286	1.42	2.5	2941.0	1.14	0.999
beta[36,1,5]	0.937	0.00941	0.533	-0.173	0.951	1.92	3211.0	1.24	0.999
beta[37,1,5]	-0.473	0.00782	0.474	-1.42	-0.476	0.418	3671.0	1.42	1.0
beta[38,1,5]	0.133	0.00829	0.529	-0.945	0.128	1.17	4067.0	1.58	1.0
beta[39,1,5]	0.469	0.0101	0.574	-0.669	0.479	1.57	3260.0	1.26	1.0
beta[40,1,5]	0.576	0.00974	0.551	-0.574	0.578	1.63	3200.0	1.24	0.999
beta[41,1,5]	0.0641	0.00838	0.47	-0.915	0.0686	0.931	3153.0	1.22	1.0
beta[42,1,5]	0.779	0.00895	0.549	-0.349	0.77	1.82	3767.0	1.46	1.0
beta[43,1,5]	-0.826	0.00687	0.444	-1.73	-0.832	0.0158	4170.0	1.62	0.999
beta[44,1,5]	-0.445	0.0087	0.508	-1.47	-0.447	0.547	3411.0	1.32	0.999
beta[45,1,5]	0.166	0.00795	0.488	-0.848	0.177	1.09	3766.0	1.46	1.0
beta[46,1,5]	0.343	0.00887	0.491	-0.634	0.354	1.26	3064.0	1.19	0.999
beta[47,1,5]	-0.155	0.00864	0.528	-1.27	-0.154	0.825	3730.0	1.45	0.999
beta[48,1,5]	-1.14	0.00649	0.424	-2.0	-1.14	-0.335	4275.0	1.66	0.999
beta[49,1,5]	-0.357	0.00898	0.464	-1.32	-0.362	0.522	2667.0	1.03	0.999
beta[50,1,5]	-0.128	0.00855	0.482	-1.1	-0.132	0.799	3176.0	1.23	0.999
beta[51,1,5]	-1.03	0.00605	0.44	-1.95	-1.03	-0.197	5289.0	2.05	0.998
