name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"beta_pr[6,8]",1.13,0.0109,0.776,-0.145,1.12,2.38,5095,1.67,1.000
"beta_pr[6,9]",-0.538,0.0114,0.811,-1.92,-0.546,0.797,5045,1.65,1.00
"beta_pr[6,10]",0.211,0.0123,0.862,-1.22,0.213,1.61,4930,1.62,1.000
"beta_pr[6,11]",-0.373,0.0116,0.826,-1.72,-0.370,0.982,5103,1.67,0.999
"beta_pr[6,12]",0.444,0.0110,0.746,-0.775,0.441,1.68,4622,1.52,1.000
"beta_pr[6,13]",0.228,0.0110,0.733,-0.983,0.221,1.43,4429,1.45,1.000
"beta_pr[6,14]",-0.406,0.0123,0.816,-1.73,-0.409,0.937,4413,1.45,1.000
"beta_pr[6,15]",1.00,0.0114,0.743,-0.204,0.991,2.20,4265,1.40,1.00
"beta_pr[6,16]",-0.523,0.0118,0.784,-1.81,-0.527,0.760,4385,1.44,1.00
"beta_pr[6,17]",0.0807,0.0111,0.765,-1.18,0.0696,1.32,4730,1.55,1.000
"beta_pr[6,18]",0.756,0.0105,0.761,-0.505,0.756,2.01,5224,1.71,0.999
"beta_pr[6,19]",-0.531,0.0106,0.741,-1.77,-0.523,0.685,4879,1.60,1.000
"beta_pr[6,20]",-0.271,0.0124,0.812,-1.64,-0.255,1.02,4303,1.41,1.000
"beta_pr[6,21]",0.811,0.0106,0.744,-0.426,0.815,2.01,4921,1.61,0.999
"beta_pr[6,22]",-0.550,0.0108,0.768,-1.83,-0.540,0.714,5060,1.66,1.000
"beta_pr[6,23]",1.78,0.0112,0.768,0.529,1.78,3.02,4675,1.53,1.000
"beta_pr[6,24]",0.332,0.0114,0.769,-0.916,0.328,1.58,4556,1.49,1.00
"beta_pr[6,25]",-1.03,0.0112,0.770,-2.29,-1.02,0.239,4719,1.55,1.000
"beta_pr[6,26]",-0.0155,0.0112,0.798,-1.36,-0.00563,1.30,5044,1.65,1.00
"beta_pr[6,27]",0.764,0.0113,0.748,-0.463,0.760,2.01,4425,1.45,1.00
"beta_pr[6,28]",0.0695,0.0119,0.803,-1.25,0.0754,1.38,4545,1.49,1.000
"beta_pr[6,29]",-0.0991,0.0113,0.774,-1.38,-0.108,1.17,4657,1.53,0.999
"beta_pr[6,30]",0.0231,0.0107,0.782,-1.27,0.0248,1.29,5310,1.74,1.000
"beta_pr[6,31]",0.196,0.0119,0.772,-1.07,0.193,1.48,4182,1.37,1.000
"beta_pr[6,32]",0.110,0.0110,0.791,-1.22,0.125,1.41,5139,1.69,0.999
"beta_pr[6,33]",0.671,0.0100,0.772,-0.618,0.687,1.94,5934,1.95,1.000
"beta_pr[6,34]",0.222,0.0118,0.806,-1.07,0.225,1.53,4668,1.53,0.999
"beta_pr[6,35]",0.963,0.0113,0.750,-0.261,0.954,2.20,4375,1.43,1.00
"beta_pr[6,36]",0.671,0.0110,0.797,-0.689,0.681,1.97,5255,1.72,1.000
"beta_pr[6,37]",-0.115,0.0126,0.821,-1.46,-0.113,1.25,4247,1.39,1.00
"beta_pr[6,38]",0.229,0.0118,0.850,-1.17,0.228,1.62,5158,1.69,0.999
"beta_pr[6,39]",0.315,0.0118,0.817,-1.04,0.328,1.61,4758,1.56,1.000
"beta_pr[6,40]",0.323,0.0108,0.757,-0.916,0.305,1.57,4878,1.60,1.000
"beta_pr[6,41]",-0.0287,0.0110,0.767,-1.34,-0.0143,1.22,4850,1.59,1.000
"beta_pr[6,42]",0.410,0.0110,0.744,-0.813,0.379,1.62,4539,1.49,1.00
"beta_pr[6,43]",-0.128,0.0110,0.769,-1.40,-0.124,1.10,4840,1.59,0.999
"beta_pr[6,44]",0.533,0.0105,0.772,-0.735,0.523,1.81,5405,1.77,1.000
"beta_pr[6,45]",0.282,0.0112,0.774,-1.02,0.293,1.53,4765,1.56,1.000
"beta_pr[6,46]",-0.996,0.0112,0.757,-2.23,-0.998,0.239,4577,1.50,1.000
"beta_pr[6,47]",0.657,0.0117,0.774,-0.584,0.666,1.94,4406,1.45,1.000
"beta_pr[6,48]",0.333,0.0115,0.805,-0.976,0.335,1.65,4935,1.62,1.000
"beta_pr[6,49]",0.125,0.0113,0.772,-1.13,0.128,1.38,4648,1.52,0.999
"beta_pr[6,50]",-0.510,0.0104,0.742,-1.76,-0.509,0.681,5102,1.67,1.00
"beta_pr[6,51]",0.918,0.0111,0.830,-0.425,0.908,2.33,5579,1.83,1.000
"beta_pr[6,52]",-1.15,0.0109,0.743,-2.34,-1.16,0.0466,4610,1.51,1.000
"beta_pr[6,53]",0.360,0.0119,0.741,-0.861,0.364,1.57,3890,1.28,1.000
"beta_pr[6,54]",-0.116,0.0103,0.756,-1.37,-0.111,1.10,5413,1.78,1.00
"beta_pr[6,55]",0.762,0.0121,0.828,-0.640,0.772,2.08,4665,1.53,0.999
"beta_pr[6,56]",-0.346,0.0116,0.798,-1.65,-0.355,0.967,4743,1.56,1.000
"beta_pr[6,57]",-1.26,0.0108,0.750,-2.48,-1.27,-0.00244,4803,1.58,0.999
"beta_pr[6,58]",-1.32,0.0125,0.778,-2.57,-1.33,-0.0377,3878,1.27,1.000
"beta_pr[6,59]",-0.804,0.0112,0.756,-2.07,-0.804,0.456,4580,1.50,0.999
"beta_pr[6,60]",-0.422,0.0114,0.762,-1.67,-0.434,0.840,4438,1.46,1.000
"beta_pr[6,61]",0.0192,0.0110,0.779,-1.22,0.0112,1.31,5032,1.65,1.000
"beta_pr[6,62]",0.0866,0.0113,0.769,-1.19,0.0709,1.39,4645,1.52,1.000
"beta_pr[6,63]",-1.08,0.0113,0.788,-2.38,-1.09,0.217,4872,1.60,1.000
