name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"b2[2,63]",0.411,0.00636,0.504,-0.420,0.406,1.24,6292,0.718,0.999
"b2[2,64]",0.583,0.00514,0.376,-0.0529,0.588,1.18,5351,0.611,1.000
"b2[2,65]",1.95,0.00815,0.515,1.11,1.95,2.83,3986,0.455,1.000
"b2[2,66]",0.162,0.00795,0.460,-0.574,0.165,0.913,3346,0.382,1.00
"b2[2,67]",0.702,0.00984,0.657,-0.359,0.690,1.79,4461,0.509,1.000
"b2[2,68]",0.528,0.00865,0.594,-0.446,0.537,1.51,4716,0.538,1.000
"b2[2,69]",1.60,0.00605,0.448,0.877,1.61,2.35,5500,0.628,0.999
"b2[2,70]",-0.521,0.00651,0.408,-1.20,-0.522,0.156,3924,0.448,1.00
"b2[2,71]",0.266,0.00621,0.390,-0.373,0.265,0.904,3952,0.451,1.000
"b2[2,72]",1.03,0.00905,0.527,0.193,1.01,1.91,3384,0.386,1.00
"b2[2,73]",1.33,0.00945,0.501,0.526,1.32,2.18,2809,0.320,1.00
"b2[2,74]",0.644,0.00680,0.532,-0.249,0.637,1.52,6129,0.699,0.999
"b2[2,75]",1.10,0.00566,0.415,0.422,1.09,1.80,5373,0.613,1.000
"b2[2,76]",-0.254,0.00831,0.571,-1.18,-0.261,0.691,4726,0.539,1.000
"b2[2,77]",0.697,0.00884,0.480,-0.0456,0.675,1.49,2944,0.336,1.000
"b2[2,78]",0.388,0.00873,0.566,-0.551,0.391,1.31,4206,0.480,0.999
"b2[2,79]",0.901,0.0232,0.490,0.0583,0.925,1.67,445,0.0508,1.00
"b2[2,80]",0.242,0.00872,0.505,-0.588,0.240,1.07,3352,0.382,1.00
"b2[2,81]",-1.65,0.00810,0.583,-2.62,-1.65,-0.715,5187,0.592,0.999
"b2[2,82]",0.659,0.00962,0.587,-0.309,0.657,1.63,3723,0.425,1.00
"b2[2,83]",1.05,0.00739,0.491,0.237,1.06,1.85,4408,0.503,0.999
"b2[2,84]",0.0660,0.00760,0.498,-0.739,0.0668,0.888,4287,0.489,1.000
"b2[2,85]",1.21,0.0131,0.540,0.300,1.23,2.09,1713,0.195,1.00
"b2[2,86]",0.175,0.00795,0.602,-0.809,0.174,1.18,5730,0.654,1.00
"b2[2,87]",0.928,0.00543,0.435,0.221,0.931,1.66,6421,0.733,0.999
