subject	session	block	trial	exposure	valence	action	robot	correct	choice	rt	accuracy	sham	outcome	Y_hat	Y_pred	waic
r290tjjnbzo5rw4ls3mialc7	3	2	222	4	0	no-go	NGAL	0	0		1	0.0	1	0.6222	0.37261175988344736	-1.0022719599683703
r290tjjnbzo5rw4ls3mialc7	3	2	228	5	0	no-go	NGAL	0	1	0.215	0	0.0	0	0.6021	0.6072107092990997	-0.5031178616514412
r290tjjnbzo5rw4ls3mialc7	3	2	230	6	0	no-go	NGAL	0	1	0.595	0	0.0	0	0.5923	0.5842192821939538	-0.5409753867175668
r290tjjnbzo5rw4ls3mialc7	3	2	234	7	0	no-go	NGAL	0	1	0.945	0	1.0	1	0.564	0.5618727088439056	-0.579949220244681
r290tjjnbzo5rw4ls3mialc7	3	2	239	8	0	no-go	NGAL	0	1	0.519	0	0.0	0	0.5866	0.5829326803268801	-0.5430888086995346
r290tjjnbzo5rw4ls3mialc7	3	2	122	1	1	go	GW	1	1	0.712	1	0.0	1	0.5622	0.5678777376721532	-0.5694421300395475
r290tjjnbzo5rw4ls3mialc7	3	2	127	2	1	go	GW	1	1	0.509	1	0.0	1	0.6712	0.6762604769265751	-0.39455505648952827
r290tjjnbzo5rw4ls3mialc7	3	2	132	3	1	go	GW	1	1	0.549	1	0.0	1	0.76	0.7566634410687807	-0.2825065175889807
r290tjjnbzo5rw4ls3mialc7	3	2	136	4	1	go	GW	1	1	0.502	1	0.0	1	0.8133	0.8142606776159368	-0.20914955856493492
r290tjjnbzo5rw4ls3mialc7	3	2	140	5	1	go	GW	1	1	0.64	1	0.0	1	0.8511	0.8551061401367038	-0.1600941374414586
r290tjjnbzo5rw4ls3mialc7	3	2	143	6	1	go	GW	1	0		0	0.0	0	0.8819	0.11584143657052878	-2.341087948255557
r290tjjnbzo5rw4ls3mialc7	3	2	145	7	1	go	GW	1	1	0.782	1	0.0	1	0.891	0.8924342039685338	-0.11678939217919954
r290tjjnbzo5rw4ls3mialc7	3	2	150	8	1	go	GW	1	1	0.998	1	0.0	1	0.9109	0.9120163069096088	-0.09495072647848898
r290tjjnbzo5rw4ls3mialc7	3	1	42	1	1	no-go	NGW	0	0		1	0.0	1	0.5609	0.4321222623278467	-0.8453118405460126
r290tjjnbzo5rw4ls3mialc7	3	1	45	2	1	no-go	NGW	0	1	1.078	0	0.0	0	0.5377	0.5464670603349638	-0.6079883772384607
r290tjjnbzo5rw4ls3mialc7	3	1	52	3	1	no-go	NGW	0	1	0.999	0	0.0	0	0.5237	0.5248498669505494	-0.6491588017587128
r290tjjnbzo5rw4ls3mialc7	3	1	56	4	1	no-go	NGW	0	0		1	0.0	1	0.4977	0.49592890261446226	-0.7075427728336154
r290tjjnbzo5rw4ls3mialc7	3	1	57	5	1	no-go	NGW	0	0		1	0.0	1	0.4807	0.5166605241953065	-0.6676663710714569
r290tjjnbzo5rw4ls3mialc7	3	1	61	6	1	no-go	NGW	0	1	0.844	0	0.0	0	0.4545	0.463518886145732	-0.7806028429796475
r290tjjnbzo5rw4ls3mialc7	3	1	66	7	1	no-go	NGW	0	0		1	0.0	1	0.4321	0.556075174844111	-0.5966412395558811
r290tjjnbzo5rw4ls3mialc7	3	1	70	8	1	no-go	NGW	0	0		1	0.0	1	0.4341	0.5747213289532059	-0.5648869172185391
r290tjjnbzo5rw4ls3mialc7	3	1	74	9	1	no-go	NGW	0	0		1	0.0	1	0.4105	0.5924571742413356	-0.5356076842980233
r290tjjnbzo5rw4ls3mialc7	3	1	77	10	1	no-go	NGW	0	1	0.709	0	0.0	0	0.391	0.3906829241953259	-0.9734777044880455
r290tjjnbzo5rw4ls3mialc7	3	1	81	11	1	no-go	NGW	0	0		1	0.0	1	0.3684	0.6268024078186236	-0.48133861979160497
