name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
a1[55]	0.298	0.00114	0.0979	0.15	0.29	0.471	7402.0	0.277	1.0
a1[56]	0.257	0.00979	0.238	0.0106	0.204	0.697	589.0	0.0221	1.01
a1[57]	0.128	0.00317	0.139	0.0191	0.06	0.433	1922.0	0.0719	1.0
a1[58]	0.679	0.00178	0.134	0.446	0.688	0.88	5666.0	0.212	1.0
a1[59]	0.201	0.000381	0.0404	0.141	0.198	0.272	11240.0	0.421	1.0
a1[60]	0.358	0.000611	0.0751	0.239	0.356	0.487	15105.0	0.565	1.0
a1[61]	0.358	0.00662	0.218	0.0199	0.374	0.709	1085.0	0.0406	1.0
a1[62]	0.328	0.00189	0.13	0.121	0.323	0.551	4679.0	0.175	1.0
a1[63]	0.0608	0.00207	0.0929	0.0128	0.0286	0.252	2006.0	0.0751	1.0
a1[64]	0.399	0.0178	0.272	0.00133	0.43	0.813	233.0	0.00873	1.01
a1[65]	0.589	0.000744	0.0835	0.452	0.587	0.728	12623.0	0.472	1.0
a1[66]	0.171	0.00101	0.0785	0.074	0.155	0.321	6070.0	0.227	1.0
a1[67]	0.707	0.000956	0.0903	0.556	0.71	0.853	8929.0	0.334	1.0
a1[68]	0.207	0.000457	0.0466	0.138	0.202	0.29	10385.0	0.389	1.0
a1[69]	0.167	0.000816	0.065	0.0845	0.156	0.29	6341.0	0.237	1.0
a1[70]	0.262	0.000665	0.0715	0.155	0.257	0.39	11573.0	0.433	1.0
a1[71]	0.378	0.003	0.187	0.0705	0.382	0.684	3874.0	0.145	1.0
a1[72]	0.221	0.000399	0.0409	0.158	0.219	0.292	10514.0	0.393	1.0
a1[73]	0.151	0.000351	0.0334	0.102	0.147	0.21	9058.0	0.339	1.0
a1[74]	0.656	0.00116	0.109	0.472	0.659	0.831	8777.0	0.328	1.0
a1[75]	0.531	0.00115	0.118	0.339	0.528	0.73	10682.0	0.4	1.0
a1[76]	0.438	0.000707	0.0889	0.287	0.439	0.58	15834.0	0.592	1.0
a1[77]	0.551	0.00301	0.159	0.277	0.559	0.797	2793.0	0.104	1.0
a1[78]	0.702	0.00212	0.139	0.454	0.718	0.904	4316.0	0.161	1.0
a1[79]	0.161	0.00384	0.168	0.0188	0.0775	0.515	1922.0	0.0719	1.0
a1[80]	0.303	0.00125	0.105	0.139	0.295	0.487	7058.0	0.264	1.0
a1[81]	0.134	0.00157	0.0917	0.0387	0.105	0.317	3394.0	0.127	1.0
a1[82]	0.286	0.00309	0.138	0.0713	0.282	0.522	2005.0	0.075	1.0
a1[83]	0.543	0.0058	0.217	0.0788	0.57	0.856	1398.0	0.0523	1.0
a1[84]	0.489	0.0128	0.248	0.0122	0.533	0.834	376.0	0.0141	1.01
a1[85]	0.14	0.00125	0.0786	0.0566	0.118	0.299	3962.0	0.148	1.0
a1[86]	0.686	0.00126	0.119	0.478	0.691	0.873	8898.0	0.333	1.0
a1[87]	0.185	0.00235	0.128	0.0475	0.148	0.439	2962.0	0.111	1.0
a1[88]	0.222	0.00119	0.0919	0.0967	0.209	0.391	5986.0	0.224	1.0
a1[89]	0.501	0.00156	0.123	0.295	0.504	0.698	6270.0	0.235	1.0
a1[90]	0.34	0.00363	0.184	0.0402	0.35	0.636	2563.0	0.0959	1.0
a1[91]	0.187	0.000486	0.0481	0.117	0.182	0.275	9801.0	0.367	1.0
a1[92]	0.214	0.00139	0.0969	0.0824	0.201	0.395	4877.0	0.182	1.0
a1[93]	0.553	0.00111	0.116	0.368	0.551	0.748	11075.0	0.414	1.0
a1[94]	0.31	0.0124	0.268	0.00273	0.303	0.763	466.0	0.0174	1.01
a1[95]	0.177	0.00127	0.0899	0.0668	0.158	0.35	5047.0	0.189	1.0
a1[96]	0.191	0.00328	0.162	0.0305	0.137	0.516	2438.0	0.0912	1.0
a1[97]	0.304	0.00113	0.101	0.156	0.294	0.483	7905.0	0.296	1.0
