name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_pr[4,71]	0.303	0.00942	0.637	-0.859	0.265	1.57	4575.0	2.46	1.0
theta_pr[4,72]	0.115	0.00487	0.244	-0.383	0.106	0.586	2519.0	1.36	1.0
theta_pr[4,73]	-0.108	0.00491	0.225	-0.592	-0.113	0.311	2091.0	1.12	1.0
theta_pr[4,74]	0.555	0.0124	0.774	-0.91	0.529	2.08	3895.0	2.09	1.0
theta_pr[4,75]	-1.12	0.0161	0.971	-2.61	-1.32	1.14	3637.0	1.96	1.0
theta_pr[4,76]	0.579	0.00529	0.296	-0.0173	0.574	1.15	3132.0	1.68	1.0
theta_pr[4,77]	0.547	0.0134	0.783	-1.14	0.603	1.93	3434.0	1.85	1.0
theta_pr[4,78]	0.473	0.0158	0.859	-1.32	0.529	2.02	2968.0	1.6	1.0
theta_pr[4,79]	0.96	0.00837	0.564	-0.139	0.95	2.08	4538.0	2.44	1.0
theta_pr[4,80]	1.32	0.00723	0.486	0.301	1.33	2.23	4519.0	2.43	1.0
theta_pr[4,81]	-0.742	0.00832	0.537	-1.68	-0.794	0.416	4160.0	2.24	1.0
theta_pr[4,82]	1.0	0.00764	0.481	0.0185	0.995	1.93	3963.0	2.13	1.0
theta_pr[4,83]	0.741	0.023	1.11	-1.73	0.87	2.58	2321.0	1.25	1.0
theta_pr[4,84]	-0.267	0.0087	0.581	-1.37	-0.301	0.914	4461.0	2.4	0.999
theta_pr[4,85]	0.528	0.00582	0.307	-0.0747	0.52	1.13	2786.0	1.5	1.0
theta_pr[4,86]	0.121	0.0122	0.57	-0.858	0.069	1.41	2186.0	1.18	1.0
theta_pr[4,87]	0.759	0.0157	0.893	-1.35	0.843	2.25	3221.0	1.73	1.0
theta_pr[4,88]	0.253	0.00564	0.344	-0.461	0.249	0.896	3717.0	2.0	0.999
theta_pr[4,89]	-0.744	0.01	0.682	-1.84	-0.834	0.72	4651.0	2.5	1.0
theta_pr[4,90]	1.13	0.00682	0.454	0.217	1.13	1.99	4433.0	2.38	1.0
theta_pr[4,91]	-1.46	0.0104	0.594	-2.47	-1.52	-0.148	3240.0	1.74	1.0
theta_pr[4,92]	-0.22	0.00556	0.282	-0.797	-0.215	0.309	2583.0	1.39	1.0
theta_pr[4,93]	-0.0709	0.00566	0.307	-0.688	-0.0691	0.5	2945.0	1.58	1.0
theta_pr[4,94]	1.27	0.0163	0.878	-0.902	1.35	2.78	2890.0	1.55	1.0
theta_pr[4,95]	-0.89	0.0186	0.953	-2.64	-0.92	0.939	2614.0	1.41	0.999
theta_pr[4,96]	-0.583	0.00807	0.495	-1.45	-0.628	0.47	3766.0	2.03	1.0
theta_pr[4,97]	-0.864	0.00869	0.497	-1.8	-0.908	0.138	3265.0	1.76	1.0
theta_pr[4,98]	1.04	0.015	0.773	-0.698	1.07	2.44	2667.0	1.43	1.0
theta_pr[4,99]	0.319	0.00545	0.321	-0.332	0.317	0.939	3465.0	1.86	1.0
theta_pr[5,1]	0.406	0.00795	0.774	-1.2	0.392	1.96	9473.0	5.1	0.999
theta_pr[5,2]	0.024	0.00806	0.716	-1.45	0.0086	1.39	7892.0	4.25	1.0
theta_pr[5,3]	-0.745	0.00689	0.494	-1.72	-0.76	0.226	5145.0	2.77	1.0
theta_pr[5,4]	0.141	0.00806	0.81	-1.54	0.13	1.72	10093.0	5.43	1.0
theta_pr[5,5]	0.515	0.00968	0.708	-0.776	0.485	1.97	5354.0	2.88	0.999
theta_pr[5,6]	-0.321	0.00967	0.753	-1.79	-0.329	1.15	6068.0	3.26	1.0
theta_pr[5,7]	1.07	0.00751	0.62	-0.116	1.04	2.32	6829.0	3.67	1.0
theta_pr[5,8]	-0.0127	0.00686	0.505	-0.945	-0.0477	1.02	5410.0	2.91	0.999
theta_pr[5,9]	0.328	0.00666	0.56	-0.748	0.289	1.47	7060.0	3.8	1.0
theta_pr[5,10]	-0.832	0.00982	0.786	-2.46	-0.844	0.648	6412.0	3.45	1.0
theta_pr[5,11]	0.793	0.00676	0.528	-0.169	0.746	1.89	6099.0	3.28	1.0
theta_pr[5,12]	-0.183	0.00863	0.816	-1.79	-0.207	1.41	8935.0	4.81	1.0
theta_pr[5,13]	0.0913	0.0114	0.914	-1.63	0.0479	1.88	6377.0	3.43	1.0
theta_pr[5,14]	0.198	0.0117	0.737	-1.02	0.108	1.8	3949.0	2.12	1.0
