name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_c_pr[4,64]	0.12	0.00727	0.61	-1.13	0.11	1.27	7032.0	2.15	1.0
theta_c_pr[4,65]	0.55	0.00883	0.738	-0.949	0.54	1.97	6974.0	2.13	1.0
theta_c_pr[4,66]	0.977	0.00923	0.741	-0.582	1.0	2.32	6455.0	1.97	1.0
theta_c_pr[4,67]	0.71	0.00751	0.711	-0.771	0.718	2.04	8970.0	2.74	1.0
theta_c_pr[4,68]	-0.662	0.00866	0.631	-1.92	-0.672	0.53	5306.0	1.62	1.0
theta_c_pr[4,69]	0.0793	0.00743	0.624	-1.2	0.0826	1.28	7053.0	2.15	0.999
theta_c_pr[4,70]	0.841	0.0065	0.613	-0.417	0.85	1.95	8868.0	2.71	1.0
theta_c_pr[4,71]	-0.831	0.00733	0.57	-1.94	-0.842	0.291	6033.0	1.84	1.0
theta_c_pr[4,72]	0.488	0.00698	0.64	-0.848	0.485	1.68	8396.0	2.56	1.0
theta_c_pr[4,73]	0.137	0.0089	0.671	-1.23	0.125	1.4	5679.0	1.73	1.0
theta_c_pr[4,74]	0.977	0.0114	0.939	-0.936	0.976	2.74	6731.0	2.06	0.999
theta_c_pr[4,75]	0.292	0.00674	0.604	-0.983	0.308	1.38	8042.0	2.46	1.0
theta_c_pr[4,76]	0.708	0.00745	0.67	-0.666	0.697	1.96	8098.0	2.47	1.0
theta_c_pr[4,77]	0.459	0.00664	0.559	-0.712	0.467	1.48	7087.0	2.16	1.0
theta_c_pr[4,78]	0.606	0.0155	0.911	-1.2	0.622	2.23	3463.0	1.06	1.0
theta_c_pr[4,79]	-0.686	0.00662	0.53	-1.82	-0.682	0.291	6422.0	1.96	1.0
theta_c_pr[4,80]	-1.09	0.00778	0.583	-2.26	-1.09	0.0504	5608.0	1.71	1.0
theta_c_pr[4,81]	0.489	0.00977	0.72	-0.939	0.473	1.85	5436.0	1.66	1.0
theta_c_pr[4,82]	0.0478	0.0102	0.673	-1.28	0.0265	1.37	4309.0	1.32	1.0
theta_c_pr[4,83]	0.608	0.00918	0.678	-0.73	0.605	1.89	5444.0	1.66	1.0
theta_c_pr[4,84]	0.647	0.00752	0.703	-0.766	0.641	1.96	8727.0	2.67	1.0
theta_c_pr[4,85]	-0.833	0.00825	0.65	-2.12	-0.849	0.433	6209.0	1.9	1.0
theta_c_pr[4,86]	-0.255	0.00707	0.584	-1.43	-0.254	0.903	6808.0	2.08	1.0
theta_c_pr[4,87]	-0.581	0.00755	0.572	-1.72	-0.588	0.511	5744.0	1.75	0.999
theta_c_pr[4,88]	-1.18	0.0921	1.39	-2.85	-1.67	2.07	228.0	0.0697	1.03
theta_c_pr[4,89]	-0.087	0.00794	0.673	-1.46	-0.0967	1.2	7185.0	2.19	0.999
theta_c_pr[4,90]	0.388	0.0068	0.551	-0.776	0.389	1.4	6560.0	2.0	1.0
theta_c_pr[4,91]	0.948	0.0113	0.987	-1.27	0.988	2.69	7640.0	2.33	1.0
theta_c_pr[5,1]	-0.745	0.00788	0.649	-2.05	-0.757	0.506	6777.0	2.07	1.0
theta_c_pr[5,2]	0.186	0.0137	0.84	-1.56	0.195	1.76	3770.0	1.15	1.0
theta_c_pr[5,3]	-2.46	0.00946	0.716	-3.92	-2.47	-1.11	5735.0	1.75	1.0
theta_c_pr[5,4]	1.32	0.0133	0.88	-0.7	1.42	2.77	4360.0	1.33	1.0
theta_c_pr[5,5]	0.64	0.00759	0.765	-0.902	0.639	2.08	10165.0	3.1	1.0
theta_c_pr[5,6]	0.827	0.0107	0.779	-0.881	0.862	2.2	5315.0	1.62	1.0
theta_c_pr[5,7]	0.247	0.0077	0.647	-1.1	0.24	1.46	7071.0	2.16	0.999
theta_c_pr[5,8]	0.0147	0.00742	0.669	-1.37	0.0178	1.25	8145.0	2.49	1.0
theta_c_pr[5,9]	-0.568	0.011	0.766	-2.13	-0.569	0.879	4892.0	1.49	1.0
theta_c_pr[5,10]	1.67	0.00936	0.799	-0.0718	1.68	3.11	7296.0	2.23	1.0
theta_c_pr[5,11]	0.839	0.00781	0.723	-0.678	0.833	2.18	8568.0	2.62	1.0
theta_c_pr[5,12]	-0.141	0.00995	0.878	-1.93	-0.141	1.54	7787.0	2.38	1.0
theta_c_pr[5,13]	0.0904	0.00807	0.736	-1.37	0.0817	1.52	8310.0	2.54	1.0
theta_c_pr[5,14]	-0.584	0.0102	0.688	-2.05	-0.556	0.688	4503.0	1.38	1.0
theta_c_pr[5,15]	0.898	0.00873	0.734	-0.604	0.894	2.28	7070.0	2.16	1.0
theta_c_pr[5,16]	0.378	0.00799	0.725	-1.09	0.381	1.71	8231.0	2.51	1.0
theta_c_pr[5,17]	-0.68	0.00805	0.663	-1.99	-0.698	0.619	6779.0	2.07	1.0
theta_c_pr[5,18]	-0.555	0.00893	0.702	-1.95	-0.575	0.795	6167.0	1.88	1.0
theta_c_pr[5,19]	-0.103	0.00845	0.726	-1.58	-0.105	1.27	7384.0	2.25	1.0
theta_c_pr[5,20]	-1.11	0.00782	0.649	-2.42	-1.12	0.159	6878.0	2.1	1.0
theta_c_pr[5,21]	0.425	0.00717	0.71	-1.03	0.417	1.78	9815.0	3.0	0.999
theta_c_pr[5,22]	-1.88	0.00805	0.637	-3.18	-1.89	-0.661	6261.0	1.91	1.0
theta_c_pr[5,23]	-0.636	0.00868	0.634	-1.95	-0.64	0.532	5345.0	1.63	1.0
theta_c_pr[5,24]	-0.291	0.00908	0.73	-1.78	-0.305	1.05	6472.0	1.98	1.0
theta_c_pr[5,25]	0.398	0.00811	0.726	-1.1	0.394	1.74	8022.0	2.45	1.0
theta_c_pr[5,26]	0.0222	0.00883	0.696	-1.39	0.00299	1.37	6201.0	1.89	1.0
