	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
a1[2,2]	0.109	0.000708	0.0447	0.0423	0.101	0.208	3994.0	0.318	1.0
a1[1,3]	0.146	0.000933	0.0559	0.0599	0.137	0.269	3595.0	0.286	1.0
a1[2,3]	0.196	0.00122	0.0735	0.0805	0.184	0.363	3634.0	0.289	1.0
a1[1,4]	0.163	0.000835	0.0567	0.0695	0.157	0.285	4611.0	0.367	1.0
a1[2,4]	0.133	0.000717	0.0479	0.0596	0.126	0.241	4465.0	0.355	1.0
a1[1,5]	0.146	0.00074	0.0465	0.0624	0.143	0.242	3954.0	0.315	1.0
a1[2,5]	0.14	0.000814	0.0536	0.0574	0.131	0.262	4333.0	0.345	1.0
a1[1,6]	0.156	0.00106	0.0676	0.0513	0.145	0.306	4087.0	0.325	1.0
a1[2,6]	0.158	0.000983	0.0628	0.0556	0.151	0.293	4091.0	0.326	1.0
a1[1,7]	0.131	0.000921	0.0569	0.0386	0.125	0.253	3817.0	0.304	1.0
a1[2,7]	0.19	0.000972	0.0631	0.0848	0.182	0.327	4209.0	0.335	1.0
a1[1,8]	0.092	0.000548	0.0349	0.039	0.0867	0.171	4063.0	0.323	1.0
a1[2,8]	0.2	0.00109	0.0723	0.0805	0.191	0.355	4363.0	0.347	1.0
a1[1,9]	0.0943	0.0011	0.0496	0.0236	0.0852	0.206	2045.0	0.163	1.0
a1[2,9]	0.115	0.000787	0.0491	0.0355	0.11	0.221	3882.0	0.309	1.0
a1[1,10]	0.11	0.000598	0.0396	0.0478	0.104	0.196	4385.0	0.349	1.0
a1[2,10]	0.162	0.000789	0.0522	0.0722	0.158	0.271	4368.0	0.348	1.0
a1[1,11]	0.124	0.000769	0.0449	0.0492	0.118	0.223	3410.0	0.271	1.0
a1[2,11]	0.119	0.00106	0.0612	0.0275	0.111	0.254	3301.0	0.263	1.0
a1[1,12]	0.171	0.000915	0.0605	0.0707	0.164	0.301	4372.0	0.348	1.0
a1[2,12]	0.103	0.000549	0.0371	0.0449	0.0987	0.186	4566.0	0.363	1.0
a1[1,13]	0.127	0.000995	0.0661	0.035	0.115	0.279	4420.0	0.352	1.0
a1[2,13]	0.167	0.00105	0.0701	0.0544	0.157	0.316	4490.0	0.357	1.0
a1[1,14]	0.15	0.000814	0.0523	0.0614	0.144	0.262	4131.0	0.329	1.0
a1[2,14]	0.165	0.00088	0.056	0.0666	0.159	0.28	4057.0	0.323	1.0
a1[1,15]	0.0853	0.000555	0.0343	0.034	0.0794	0.162	3811.0	0.303	1.0
a1[2,15]	0.17	0.000829	0.0542	0.0728	0.167	0.279	4274.0	0.34	1.0
a1[1,16]	0.17	0.000908	0.0621	0.07	0.161	0.307	4674.0	0.372	1.0
a1[2,16]	0.138	0.000803	0.0508	0.0578	0.132	0.25	3998.0	0.318	1.0
a1[1,17]	0.104	0.000887	0.0425	0.0388	0.0969	0.2	2303.0	0.183	1.0
a1[2,17]	0.0889	0.000795	0.0367	0.0331	0.0834	0.169	2131.0	0.17	1.0
a1[1,18]	0.0635	0.000777	0.0384	0.0168	0.0541	0.157	2446.0	0.195	1.0
a1[2,18]	0.191	0.00104	0.0652	0.0749	0.185	0.327	3920.0	0.312	1.0
a1[1,19]	0.133	0.000755	0.0489	0.0559	0.126	0.242	4198.0	0.334	1.0
a1[2,19]	0.171	0.000817	0.0561	0.0743	0.166	0.291	4717.0	0.375	1.0
a1[1,20]	0.165	0.00107	0.0616	0.0675	0.156	0.301	3310.0	0.264	1.0
a1[2,20]	0.186	0.00125	0.0738	0.0729	0.173	0.353	3476.0	0.277	1.0
a1[1,21]	0.0789	0.000893	0.0417	0.023	0.0709	0.177	2181.0	0.174	1.0
a1[2,21]	0.154	0.000983	0.0597	0.0572	0.147	0.284	3691.0	0.294	1.0
a1[1,22]	0.16	0.000893	0.0614	0.0657	0.151	0.301	4732.0	0.377	1.0
a1[2,22]	0.161	0.000864	0.0539	0.0698	0.156	0.273	3898.0	0.31	1.0
a1[1,23]	0.165	0.000973	0.0644	0.0609	0.156	0.306	4371.0	0.348	1.0
a1[2,23]	0.156	0.000829	0.0545	0.0686	0.15	0.275	4317.0	0.344	1.0
a1[1,24]	0.147	0.000946	0.055	0.0572	0.14	0.263	3385.0	0.269	1.0
a1[2,24]	0.0794	0.000564	0.0332	0.0313	0.0736	0.156	3468.0	0.276	1.0
a1[1,25]	0.136	0.000659	0.0423	0.0618	0.133	0.226	4112.0	0.327	1.0
a1[2,25]	0.163	0.000815	0.0568	0.0684	0.157	0.286	4854.0	0.386	1.0
a1[1,26]	0.0759	0.000575	0.0315	0.0286	0.0705	0.146	2997.0	0.239	1.0
a1[2,26]	0.167	0.000889	0.0558	0.07	0.162	0.284	3945.0	0.314	1.0
a1[1,27]	0.099	0.000542	0.0357	0.0414	0.0945	0.176	4341.0	0.346	1.0
a1[2,27]	0.177	0.000872	0.0558	0.0774	0.172	0.291	4097.0	0.326	1.0
a1[1,28]	0.0877	0.00101	0.0515	0.0169	0.0785	0.206	2592.0	0.206	1.0
a1[2,28]	0.143	0.00116	0.066	0.0413	0.133	0.297	3232.0	0.257	1.0
a1[1,29]	0.125	0.00087	0.054	0.0449	0.116	0.249	3847.0	0.306	1.0
a1[2,29]	0.123	0.000917	0.0559	0.0376	0.114	0.246	3713.0	0.296	1.0
a1[1,30]	0.232	0.00137	0.0824	0.0897	0.225	0.406	3615.0	0.288	1.0
a1[2,30]	0.126	0.000886	0.0522	0.0501	0.117	0.247	3476.0	0.277	1.0
a1[1,31]	0.149	0.00141	0.0572	0.0531	0.144	0.268	1650.0	0.131	1.0
