	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b2[58]	21.8	0.103	6.83	11.3	20.7	36.9	4442.0	1.31	1.0
b2[59]	21.3	0.0702	5.09	12.8	20.8	32.3	5259.0	1.55	1.0
b2[60]	28.7	0.102	8.1	15.0	27.8	46.1	6269.0	1.85	0.999
b2[61]	7.01	0.116	5.11	2.34	5.23	20.7	1934.0	0.57	1.0
b2[62]	20.5	0.0632	4.66	12.5	19.9	30.3	5426.0	1.6	0.999
b2[63]	8.27	0.0411	2.2	5.12	7.92	13.1	2872.0	0.847	1.0
b2[64]	19.1	0.115	6.5	9.72	17.9	33.5	3202.0	0.944	1.0
b2[65]	13.7	0.105	5.85	6.24	12.2	28.0	3097.0	0.913	1.0
b2[66]	30.6	0.0964	7.93	17.2	29.7	47.2	6767.0	1.99	1.0
b2[67]	32.2	0.1	7.86	18.3	31.4	48.5	6124.0	1.81	1.0
b2[68]	27.5	0.0949	7.36	14.9	26.8	43.3	6010.0	1.77	1.0
b2[69]	28.7	0.0994	7.2	16.6	28.0	44.0	5242.0	1.55	1.0
b2[70]	18.1	0.0729	4.44	11.3	17.3	28.4	3709.0	1.09	1.0
b2[71]	18.8	0.12	7.2	8.06	17.5	35.6	3622.0	1.07	1.0
b2[72]	21.9	0.0827	5.7	13.0	21.1	34.7	4756.0	1.4	1.0
b2[73]	23.4	0.0892	6.48	13.3	22.5	38.2	5279.0	1.56	1.0
b2[74]	29.1	0.101	7.14	17.2	28.4	44.3	5030.0	1.48	1.0
b2[75]	3.45	0.0949	3.6	0.825	2.4	13.4	1436.0	0.423	1.0
b2[76]	24.4	0.0957	7.3	12.6	23.5	40.1	5830.0	1.72	1.0
b2[77]	28.8	0.11	7.56	16.1	27.9	44.7	4753.0	1.4	1.0
b2[78]	6.51	0.0147	1.1	4.5	6.46	8.71	5561.0	1.64	1.0
b2[79]	24.4	0.096	7.09	12.9	23.5	39.8	5458.0	1.61	1.0
b2[80]	28.1	0.105	7.63	15.3	27.3	44.5	5299.0	1.56	1.0
b2[81]	24.7	0.102	7.27	13.2	23.8	41.0	5100.0	1.5	1.0
b2[82]	21.0	0.1	6.58	11.0	20.1	35.9	4316.0	1.27	0.999
b2[83]	16.1	0.0906	5.23	8.87	15.0	28.3	3338.0	0.984	1.0
b2[84]	11.7	0.129	6.54	4.11	9.88	28.0	2570.0	0.758	1.0
b2[85]	13.8	0.144	6.77	5.17	12.2	29.6	2208.0	0.651	1.0
b2[86]	27.2	0.0817	6.52	16.1	26.6	41.1	6363.0	1.88	0.999
b2[87]	1.01	0.107	2.87	-0.849	0.479	5.21	724.0	0.213	1.01
b2[88]	27.4	0.092	7.14	15.8	26.5	43.1	6027.0	1.78	1.0
b2[89]	18.1	0.126	7.09	7.87	16.8	34.2	3152.0	0.929	1.0
b2[90]	8.32	0.0441	2.21	5.18	7.97	13.1	2517.0	0.742	1.0
b2[91]	13.6	0.066	3.94	7.9	13.0	23.1	3562.0	1.05	1.0
b2[92]	18.7	0.0664	4.4	11.7	18.1	28.7	4383.0	1.29	1.0
b2[93]	4.67	0.132	4.89	1.18	3.06	18.0	1371.0	0.404	1.0
b3[1]	1.34	0.00622	0.518	0.344	1.32	2.38	6928.0	2.04	1.0
b3[2]	0.867	0.00454	0.45	-0.0214	0.86	1.73	9837.0	2.9	1.0
b3[3]	1.16	0.00517	0.508	0.17	1.14	2.16	9657.0	2.85	1.0
b3[4]	1.08	0.00583	0.52	0.0243	1.08	2.07	7947.0	2.34	1.0
b3[5]	0.81	0.00452	0.426	-0.0417	0.806	1.65	8880.0	2.62	1.0
b3[6]	1.34	0.00397	0.371	0.626	1.32	2.07	8748.0	2.58	1.0
b3[7]	1.1	0.00536	0.464	0.189	1.09	2.02	7497.0	2.21	1.0
b3[8]	1.07	0.00477	0.455	0.178	1.05	1.96	9096.0	2.68	1.0
b3[9]	1.72	0.00389	0.351	1.06	1.71	2.41	8128.0	2.4	0.999
b3[10]	1.68	0.00558	0.512	0.698	1.65	2.72	8419.0	2.48	1.0
b3[11]	1.1	0.00389	0.356	0.404	1.09	1.82	8349.0	2.46	1.0
b3[12]	0.718	0.00503	0.471	-0.222	0.7	1.62	8770.0	2.58	0.999
b3[13]	1.23	0.00325	0.292	0.671	1.21	1.8	8091.0	2.38	1.0
b3[14]	0.817	0.00587	0.548	-0.303	0.814	1.85	8700.0	2.56	1.0
b3[15]	0.596	0.0048	0.445	-0.301	0.591	1.47	8610.0	2.54	1.0
b3[16]	1.39	0.00646	0.572	0.275	1.37	2.5	7843.0	2.31	1.0
b3[17]	1.28	0.00411	0.396	0.499	1.27	2.07	9250.0	2.73	1.0
b3[18]	0.588	0.00333	0.336	-0.078	0.584	1.24	10167.0	3.0	1.0
